Aafrika	Africa
Jaapan	Japan
Lõuna-Ameerika manner	South America
Norra	Norway
Inglismaa	England
Šotimaa	Scotland
Wales	Wales
Põhja-Iirimaa	Northern Ireland
Iirimaa	Republic of Ireland
Ungari	Hungary
Hispaania	Spain
Ameerika Ühendriigid	United States
Belgia	Belgium
Luksemburg	Luxembourg
Universum	Universe
Maa (planeet)	Earth
Elu	Life
Surm	Death
Inimene	Human
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Leet	Leet
Imagine	Imagine (John Lennon song)
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Soome	Finland
Rootsi	Sweden
Taani	Denmark
Poola	Poland
Leedu	Lithuania
Itaalia	Italy
Šveits	Switzerland
Austria	Austria
Kreeka	Greece
Türgi	Turkey
Õlu	Beer
Portugal	Portugal
Euroopa	Europe
Aasia	Asia
Põhja-Ameerika manner	North America
Antarktis	Antarctica
Vikipeedia	Wikipedia
All your base are belong to us	All your base are belong to us
Holland	Netherlands
Suguti	Penis
PHP	PHP
New York	New York City
Washington	Washington, D.C.
San Francisco	San Francisco
Berliin	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Arvuti	Computer
Bern	Bern
Genf	Geneva
Zürich	Zürich
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Basel	Basel
Printer	Printer (computing)
MediaWiki	MediaWiki
London	London
Kairo	Cairo
Peavalu	Headache
Aleksandria	Alexandria
Õun	Apple
Pariis	Paris
Abraham Lincoln	Abraham Lincoln
Android (operatsioonisüsteem)	Android (operating system)
Google	Google
Mehhiko	Mexico
Atlandi ookean	Atlantic Ocean
Vaikne ookean	Pacific Ocean
California	California
Boston	Boston
Esmaspäev	Monday
Ruum	Space
Jaanuar	January
Veebruar	February
Märts	March
Marss	Mars
Mars	Mars (mythology)
Keenia	Kenya
Etioopia	Ethiopia
Monarh	Monarch
Ghana	Ghana
Aprill	April
Mai	May
Juuni	June
Juuli	July
August	August
September	September
Oktoober	October
November	November
Detsember	December
Teisipäev	Tuesday
Kolmapäev	Wednesday
Neljapäev	Thursday
Reede	Friday
Laupäev	Saturday
Pühapäev	Sunday
Oda (male)	Bishop (chess)
Ettur	Pawn (chess)
Ratsu	Knight (chess)
Vanker (male)	Rook (chess)
Kuningas (male)	King (chess)
Lipp (male)	Queen (chess)
Lõvi	Lion
Prantsusmaa	France
Esperanto	Esperanto
Koer	Dog
Suurbritannia	United Kingdom
Kass	Cat
Hiina	China
Prantsuse keel	French language
Vikisõnastik	Wiktionary
Kalad	Fish
Etanool	Ethanol
Alkohoolne jook	Alcoholic beverage
Brasiilia	Brazil
Alkoholid	Alcohol
François Hollande	François Hollande
Venemaa	Russia
Vaalalised	Cetacea
Kiud	Fiber
Valgusjuhe	Optical fiber
Yorkshire	Yorkshire
Ruut	Square
Meri	Sea
Must meri	Black Sea
Pii	Pi
Pii (täht)	Pi (letter)
Mango	Mango
Viki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
São Paulo osariik	São Paulo (state)
Québec	Quebec
Pitsa	Pizza
Pasta	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Saksamaa	Germany
Valgevene	Belarus
Saksa keel	German language
Island	Iceland
Jumal	God
Eesti	Estonia
David Cameron	David Cameron
Saturn	Saturn
Šokolaad	Chocolate
Kirss	Cherry
Lennuk	Airplane
Sõda	War
Üks	1 (number)
Kaks	2 (number)
Kolm	3 (number)
Null	0 (number)
Lõpmatus	Infinity
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Ristkülik	Rectangle
Täisnurk	Right angle
Läti	Latvia
Ukraina	Ukraine
Tšehhi	Czech Republic
Slovakkia	Slovakia
Sloveenia	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Rumeenia	Romania
Bulgaaria	Bulgaria
Rooma	Rome
Makedoonia	Republic of Macedonia
Albaania	Albania
Gröönimaa	Greenland
Horvaatia	Croatia
Bosnia ja Hertsegoviina	Bosnia and Herzegovina
Nuuk	Nuuk
Aserbaidžaan	Azerbaijan
Andorra	Andorra
Küpros	Cyprus
Gruusia	Georgia (country)
Valloonia	Wallonia
Kasahstan	Kazakhstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatikan	Vatican City
San Marino	San Marino
Brüssel	City of Brussels
Pealinna Brüsseli piirkond	Brussels
Kuuba	Cuba
Belize	Belize
Eiffeli torn	Eiffel Tower
Barbados	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	Volkswagen Golf
Intel	Intel
Sõrmistik	Computer keyboard
Java	Java (programming language)
Indoneesia	Indonesia
QWERTY	QWERTY
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Türgi keel	Turkish language
Lõuna-Aafrika Vabariik	South Africa
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžeeria	Algeria
Vikitekstid	Wikisource
Sandy (orkaan)	Hurricane Sandy
Usbekistan	Uzbekistan
Huulhein	Drosera
Poznań	Poznań
Taškent	Tashkent
Varssavi	Warsaw
Islay	Islay
Forthi sild	Forth Bridge
Eurovisiooni lauluvõistlus	Eurovision Song Contest
Modena	Modena
Viski	Whisky
Vein	Wine
Vesi	Water
Konjak	Cognac
Nahk (materjal)	Leather
Puit	Wood
Tours	Tours
Televisioon	Television
Pornograafia	Pornography
Islandi keel	Icelandic language
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Tšiili	Chile
El Greco	El Greco
Jeesus	Jesus
Elvis Presley	Elvis Presley
Ihunuhtlus	Corporal punishment
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Merkuur	Mercury (planet)
Ajalugu	History
Père-Lachaise'i kalmistu	Père Lachaise Cemetery
Apple Inc.	Apple Inc.
Veenus	Venus
Keel	Language
Armastus	Love
Diktatuur	Dictatorship
Galaktika	Galaxy
Jupiter	Jupiter
Michelle Bachelet	Michelle Bachelet
Linnutee galaktika	Milky Way
Llanfair­pwllgwyn­gyllgo­gery­chwyrn­drobwll­llanty­silio­gogo­goch	Llanfairpwllgwyngyll
Suur Pauk	Big Bang
Uraan (planeet)	Uranus
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Bretagne'i poolsaar	Brittany
Ingliskeelne Vikipeedia	English Wikipedia
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Neptuun	Neptune
Astronoomia	Astronomy
Singapur	Singapore
Teadus	Science
Kosmoloogia	Cosmology
Pluuto	Pluto
Montréal	Montreal
Vaba tarkvara	Free software
Quimper	Quimper
Tulevik	Future
Maarja	Mary (mother of Jesus)
Louis IX	Louis IX of France
Liechtenstein	Liechtenstein
Ajakapsel	Time capsule
Sport	Sport
Cambridge	Cambridge
Yellowstone'i rahvuspark	Yellowstone National Park
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Kultuurimälestis	National heritage site
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Esimene maailmasõda	World War I
Teine maailmasõda	World War II
Köln	Cologne
Korruptsioon	Corruption
Vikiõpikud	Wikibooks
Augusto Pinochet	Augusto Pinochet
Vikitsitaadid	Wikiquote
Vikiülikool	Wikiversity
!!!	!!!
Wikivoyage	Wikivoyage
Viin (jook)	Vodka
Kell	Clock
Janka Kupała	Yanka Kupala
Ubuntu	Ubuntu (operating system)
Skopje	Skopje
Gdynia	Gdynia
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Szczecin
Matemaatika	Mathematics
U2	U2
Ladina keel	Latin
Bahrein	Bahrain
Armeenia	Armenia
Jenna Jameson	Jenna Jameson
Kiilkiri	Cuneiform
Higgsi boson	Higgs boson
Serbia	Serbia
Kuu	Moon
İstanbul	Istanbul
Austraalia	Australia
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobioloogia	Astrobiology
Füüsika	Physics
Argentina	Argentina
Telekommunikatsioon	Telecommunication
Peruu	Peru
Bioloogia	Biology
UFO	Unidentified flying object
Põhja-Korea	North Korea
Kambodža	Cambodia
Betsiboka	Betsiboka River
Kuiperi vöö	Kuiper belt
Koraan	Quran
Dinosaurused	Dinosaur
Zooloogia	Zoology
Islam	Islam
Pirnipuu (perekond)	Pear
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Botaanika	Botany
Ich bin ein Berliner	Ich bin ein Berliner
Lech Wałęsa	Lech Wałęsa
Ratas	Wheel
Entsüklopeedia (Diderot)	Encyclopédie
Denis Diderot	Denis Diderot
Georges Brassens	Georges Brassens
