非洲	Africa
日本	Japan
南美洲	South America
挪威	Norway
愛爾蘭	Republic of Ireland
西班牙	Spain
美國	United States
地球	Earth
過世	Death
人	Human
幸福	Happiness
喬治·華盛頓	George Washington
芬蘭	Finland
瑞典	Sweden
丹麥	Denmark
波蘭	Poland
意大利	Italy
希臘	Greece
土耳其	Turkey
啤酒	Beer
歐洲	Europe
亞洲	Asia
北美洲	North America
南極洲	Antarctica
維基百科	Wikipedia
荷蘭	Netherlands
卵	Penis
紐約市	New York City
華盛頓哥倫比亞特區	Washington, D.C.
舊金山	San Francisco
柏林	Berlin
洛杉磯	Los Angeles
電腦	Computer
互聯網	Internet
奧巴馬	Barack Obama
倫敦	London
蘋果	Apple
巴黎	Paris
亞伯拉罕·林肯	Abraham Lincoln
Google	Google
墨西哥	Mexico
大西洋	Atlantic Ocean
太平洋	Pacific Ocean
加利福尼亞州	California
波士頓	Boston
禮拜一	Monday
一月	January
二月	February
三月	March
火星	Mars
埃塞俄比亞	Ethiopia
4月	April
5月	May
六月	June
七月	July
八月	August
九月	September
十月	October
十一月	November
十二月	December
禮拜二	Tuesday
禮拜三	Wednesday
禮拜四	Thursday
禮拜五	Friday
禮拜六	Saturday
禮拜天	Sunday
法國	France
狗	Dog
英國	United Kingdom
貓	Cat
中華人民共和國	China
法語	French language
魚	Fish
酒	Alcoholic beverage
巴西	Brazil
俄羅斯	Russia
方形	Square
海	Sea
黑海	Black Sea
圓周率	Pi
阿拉巴馬州	Alabama
聖保羅	São Paulo
德國	Germany
德語	German language
土星	Saturn
飛行器	Airplane
打仗	War
1	1 (number)
2	2 (number)
3	3 (number)
4	4 (number)
5	5 (number)
無限	Infinity
烏克蘭	Ukraine
羅馬	Rome
克罗地亚	Croatia
古巴	Cuba
印度尼西亞	Indonesia
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	South Africa
維基文庫	Wikisource
葡萄酒	Wine
水	Water
木	Wood
電視	Television
冰島語	Icelandic language
摩內	Claude Monet
韋拿克	Diego Velázquez
智利	Chile
耶穌	Jesus
貓王	Elvis Presley
伽利略	Galileo Galilei
水星	Mercury (planet)
歷史	History
金星	Venus
語言	Language
愛	Love
木星	Jupiter
天王星	Uranus
海王星	Neptune
天文學	Astronomy
新加坡	Singapore
科學	Science
運動	Sport
希特勒	Adolf Hitler
Facebook	Facebook
第一次世界大戰	World War I
第二次世界大戰	World War II
鐘	Clock
數學	Mathematics
拉丁語	Latin
月光	Moon
伊斯坦布爾	Istanbul
澳大利亞	Australia
物理學	Physics
阿根廷	Argentina
電信	Telecommunication
朝鮮民主主義人民共和國	North Korea
柬埔寨	Cambodia
恐龍	Dinosaur
駄	Wheel
狄德羅	Denis Diderot
心智	Mind
萬維網	World Wide Web
女人	Woman
詩	Poetry
脇胛	Axilla
檸檬	Lemon
香蕉	Banana
666年	666
花	Flower
珠穆朗瑪峰	Mount Everest
城市	City
拿破崙	Napoleon
太陽	Sun
光年	Light-year
雨果	Victor Hugo
大洋洲	Oceania
田徑	Athletics (sport)
太陽系	Solar System
地獄	Hell
書	Book
日	Day
年	Year
哥白尼	Nicolaus Copernicus
可利俄捌拿七世	Cleopatra
音樂	Music
莫斯科	Moscow
意大利語	Italian language
北	North
南	South
印度	India
散文	Prose
鐵	Iron
西	West
東	East
莫里哀	Molière
莎士比亞	William Shakespeare
國際象棋	Chess
成吉思汗	Genghis Khan
馬	Horse
武器	Weapon
動物	Animal
藝術	Art
哥倫比亞	Colombia
佛教	Buddhism
植物	Plant
達芬奇	Leonardo da Vinci
雞	Chicken
北冰洋	Arctic Ocean
伊朗	Iran
伊拉克	Iraq
阿拉斯加州	Alaska
以色列	Israel
亞利桑那州	Arizona
老撾	Laos
美洲	Americas
馬來西亞	Malaysia
緬甸	Burma
巴基斯坦	Pakistan
網球	Tennis
沙特阿拉伯	Saudi Arabia
斯大林	Joseph Stalin
柏拉圖	Plato
中華民國	Taiwan
亞里斯多德	Aristotle
泰國	Thailand
火車	Train
無線電	Radio
越南	Vietnam
韓國	South Korea
金	Gold
蘇伊士運河	Suez Canal
孟加拉	Bangladesh
卡夫卡	Franz Kafka
蘇格拉底	Socrates
羅德·阿門森	Roald Amundsen
菲律賓	Philippines
南極點	South Pole
北極點	North Pole
牛頓	Isaac Newton
愛因斯坦	Albert Einstein
黃	Yellow
北京	Beijing
剛果民主共和國	Democratic Republic of the Congo
聖安東尼奧 (德克薩斯州)	San Antonio
多托頁夫斯基	Fyodor Dostoyevsky
毛伢子	Infant
甘地	Mahatma Gandhi
人骨子頭畫	Comics
尼日利亞	Nigeria
達爾文	Charles Darwin
卡爾·林奈	Carl Linnaeus
凱撒大帝	Julius Caesar
聯合國	United Nations
但丁	Dante Alighieri
地理學	Geography
色	Color
藍	Blue
銀	Silver
電	Electric charge
耶路撒冷	Jerusalem
印度洋	Indian Ocean
科索沃	Kosovo
蕭邦	Frédéric Chopin
分類:總類	Category:Contents
阿爾卑斯山	Alps
帕斯卡	Blaise Pascal
西洋跳棋	Draughts
芝加哥	Chicago
披頭士	The Beatles
西班牙語	Spanish language
巴赫	Johann Sebastian Bach
歌劇	Opera
費城	Philadelphia
德里	Delhi
水果	Fruit
錢	Money
列寧	Vladimir Lenin
衛吉	Virgil
屋大維	Augustus
汽車	Car
東京	Tokyo
麥哲倫	Ferdinand Magellan
華格納	Richard Wagner
雅典	Athens
世界標準時間	Coordinated Universal Time
印地語	Hindi
阿肯色州	Arkansas
韻文	Verse (poetry)
瑪當娜	Madonna (entertainer)
路易·暗式將	Louis Armstrong
法蘭克福	Frankfurt
聖經	Bible
胡志明市	Ho Chi Minh City
真耶穌教會	True Jesus Church
英語	English language
同海市	Đồng Hới
孔斯科沃拉	Końskowola
2000年	2000
2003年	2003
2002年	2002
2001年	2001
2012年	2012
2011年	2011
2010年	2010
2009年	2009
2013年	2013
2014年	2014
2015年	2015
2008年	2008
2004年	2004
2005年	2005
2006年	2006
2007年	2007
1900年	1900
1901年	1901
戴高樂	Charles de Gaulle
1902年	1902
1903年	1903
1904年	1904
1905年	1905
1907年	1907
1906年	1906
1908年	1908
1909年	1909
1992年	1992
1991年	1991
1990年	1990
1993年	1993
1994年	1994
1995年	1995
1996年	1996
1910年	1910
1911年	1911
1912年	1912
1913年	1913
1914年	1914
1915年	1915
1916年	1916
1997年	1997
1998年	1998
1999年	1999
1917年	1917
1918年	1918
喫嗰	Food
1月1號	January 1
1月2號	January 2
1920年	1920
1月3號	January 3
1919年	1919
1921年	1921
1922年	1922
1月4號	January 4
1923年	1923
