Afraga	Africa
An t-Seapan	Japan
Aimearaga a Deas	South America
Nirribhidh	Norway
Sasainn	England
Alba	Scotland
A' Chuimrigh	Wales
Èirinn a Tuath	Northern Ireland
Poblachd na h-Èireann	Republic of Ireland
An Ungair	Hungary
An Spàinn	Spain
Na Stàitean Aonaichte	United States
A' Bheilg	Belgium
Lucsamburg	Luxembourg
Saoghal	Earth
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Suòmaidh	Finland
An t-Suain	Sweden
An Danmhairg	Denmark
A' Phòlainn	Poland
Liotuàinia	Lithuania
An Eadailt	Italy
An Eilbheis	Switzerland
An Ostair	Austria
A' Ghrèig	Greece
An Tuirc	Turkey
Leann	Beer
A' Phortagail	Portugal
An Roinn-Eòrpa	Europe
Àisia	Asia
Aimearaga a Tuath	North America
Antargtaga	Antarctica
Uicipeid	Wikipedia
Na Tìrean Ìsle	Netherlands
Bod	Penis
Eabhraig Nuadh (baile)	New York City
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Coimpiutair	Computer
Berne	Bern
Geneva	Geneva
Zürich	Zürich
Eadar-lìon	Internet
Barack Obama	Barack Obama
Uruguaidh	Uruguay
Basel	Basel
Lunnainn	London
Cairo	Cairo
Alexandria, Virginia	Alexandria, Virginia
Ubhal	Apple
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Meagsago	Mexico
Cuan Siar	Atlantic Ocean
Cuan Sèimh	Pacific Ocean
Calafòrnia	California
Boston, Massachusetts	Boston
Di-Luain	Monday
Am Faoilleach	January
An Gearran	February
Am Màrt	March
Corg	Mars
A' Cheinia	Kenya
An Aetiòp	Ethiopia
Gàna	Ghana
An Giblean	April
An Cèitean	May
An t-Ògmhios	June
An t-Iuchar	July
An Lùnastal	August
An t-Sultain	September
An Dàmhair	October
An t-Samhain	November
An Dùbhlachd	December
Di-Màirt	Tuesday
Di-Ciadain	Wednesday
Di-Ardaoin	Thursday
Di-haoine	Friday
Di-Sathairne	Saturday
Di-Dòmhnaich	Sunday
Leòmhann	Lion
An Fhraing	France
Esperanto	Esperanto
Cù	Dog
An Rìoghachd Aonaichte	United Kingdom
Cat	Cat
Sluagh-Phoblachd na Sìne	China
Fraingis	French language
Iasg	Fish
Braisil	Brazil
Alcol	Alcohol
François Hollande	François Hollande
An Ruis	Russia
Muc-mhara	Cetacea
Muir	Sea
Am Muir Dubh	Black Sea
Pi	Pi (letter)
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Quebec	Quebec
Pastà	Pasta
Wikimedia	Wikimedia Foundation
A' Ghearmailt	Germany
A' Bhealaruis	Belarus
Gearmailtis	German language
Innis Tìle	Iceland
Dia	God
Eastòinia	Estonia
David Cameron	David Cameron
Satarn	Saturn
Teòclaid	Chocolate
Cogadh	War
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
An Laitbhe	Latvia
An Ucràin	Ukraine
An t-Seic	Czech Republic
An t-Slòbhac	Slovakia
Sloibhìnia	Slovenia
Vilnius	Vilnius
Moldàibhia	Moldova
Romàinia	Romania
Bulgàiria	Bulgaria
An Ròimh	Rome
Masadoinia	Republic of Macedonia
Albàinia	Albania
A' Ghraonlainn	Greenland
Poblachd na Cròthaise	Croatia
Bosna agus Hearsagobhana	Bosnia and Herzegovina
Asarbaideàn	Azerbaijan
Andorra	Andorra
Cìopras	Cyprus
A' Chairtbheil	Georgia (country)
Casachstàn	Kazakhstan
Malta	Malta
Monaco	Monaco
Am Monadh Neagrach	Montenegro
Cathair na Bhatacain	Vatican City
San Marino	San Marino
A' Bhruiseal	City of Brussels
Cùba	Cuba
Beilise	Belize
Barbados	Barbados
An Innd-Innse	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turcais	Turkish language
Afraga a Deas	South Africa
Aildiria	Algeria
Usbagastàn	Uzbekistan
Poznań	Poznań
Tashkent	Tashkent
Warszawa	Warsaw
Ìle	Islay
Eurovision	Eurovision Song Contest
Talisker	Talisker distillery
Uisge-beatha	Whisky
Fìon	Wine
Uisge	Water
Fiodh	Wood
Tours	Tours
Telebhisean	Television
An t-Sile	Chile
Ìosa Crìosd	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Mearcair	Mercury (planet)
Eachdraidh	History
An Rìbhinn (planaid)	Venus
Cànan	Language
Gràdh	Love
Am Bliogh	Jupiter
Slighe Chloinn Uisnich	Milky Way
Urànus (planaid)	Uranus
A' Bhreatainn Bheag	Brittany
Nicolas Sarkozy	Nicolas Sarkozy
Neiptiùn	Neptune
Reul-eòlas	Astronomy
Singeapòr	Singapore
Saidheans	Science
Pliùtò	Pluto
Montreal	Montreal
Kemper	Quimper
Tràth teachdail	Future
Moire	Mary (mother of Jesus)
Liechtenstein	Liechtenstein
Spòrs	Sport
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Wikileaks	WikiLeaks
An Cogadh Mòr	World War I
An Dàrna Cogadh	World War II
Köln	Cologne
Skopje	Skopje
Szczecin	Szczecin
Matamataig	Mathematics
U2	U2
Laideann	Latin
Bachrain	Bahrain
Airmeinia	Armenia
An t-Sèirb	Serbia
Gealach	Moon
Istanbul	Istanbul
Astràilia	Australia
Fiosaig	Physics
An Argantain	Argentina
Cian-chonaltradh	Telecommunication
Pearù	Peru
Bith-eòlas	Biology
Coirèa a Tuath	North Korea
