આફ્રિકા	Africa
જાપાન	Japan
દક્ષિણ અમેરિકા	South America
નોર્વે	Norway
વેલ્સ	Wales
નોર્ધન આયર્લેન્ડ	Northern Ireland
હંગેરી	Hungary
સ્પેન	Spain
સંયુક્ત રાજ્ય અમેરિકા	United States
બેલ્જિયમ	Belgium
લક્ઝેમ્બર્ગ	Luxembourg
બ્રહ્માંડ	Universe
પૃથ્વી	Earth
મનુષ્ય	Human
ફીનલેંડ	Finland
સ્વિડન	Sweden
પોલેંડ	Poland
લિથુઆનિયા	Lithuania
ઈટલી	Italy
સ્વિત્ઝરલેન્ડ	Switzerland
ઑસ્ટ્રિયા	Austria
ગ્રીસ	Greece
તુર્કસ્તાન	Turkey
પોર્ટુગલ	Portugal
યુરોપ	Europe
એશિયા	Asia
ઉત્તર અમેરિકા	North America
ઍન્ટાર્કટિકા	Antarctica
વિકિપીડિયા	Wikipedia
નેધરલેંડ	Netherlands
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	Airbus
સંગણક	Computer
ઇન્ટરનેટ	Internet
ઉરુગ્વે	Uruguay
કમ્પ્યુટર પ્રિન્ટર	Printer (computing)
લંડન	London
એલેક્ઝાન્ડ્રિયા	Alexandria
સફરજન	Apple
પૅરિસ	Paris
ગૂગલ	Google
મેક્સિકો	Mexico
સોમવાર	Monday
જાન્યુઆરી	January
ફેબ્રુઆરી	February
માર્ચ	March
મંગળ (ગ્રહ)	Mars
કેન્યા	Kenya
ઇથિયોપિયા	Ethiopia
ઘાના	Ghana
એપ્રિલ	April
મે	May
જૂન	June
જુલાઇ	July
ઓગસ્ટ	August
સપ્ટેમ્બર	September
ઓક્ટોબર	October
નવેમ્બર	November
ડિસેમ્બર	December
મંગળવાર	Tuesday
બુધવાર	Wednesday
ગુરુવાર	Thursday
શુક્રવાર	Friday
શનિવાર	Saturday
રવિવાર	Sunday
એશિયાઇ સિંહ	Lion
ફ્રાન્સ	France
યુનાઇટેડ કિંગડમ	United Kingdom
ચીન	China
માછલી	Fish
ઇથેનોલ	Ethanol
મદ્યાર્ક યુક્ત પીણું	Alcoholic beverage
બ્રાઝિલ	Brazil
રશિયા	Russia
કાળો સમુદ્ર	Black Sea
અલાબામા	Alabama
ક્વિબેક	Quebec
વિકિમીડિયા ફાઉન્ડેશન	Wikimedia Foundation
જીમ્મી વેલ્સ	Jimmy Wales
જર્મની	Germany
બેલારુસ	Belarus
જર્મન ભાષા	German language
આઈસલેંડ	Iceland
ઈશ્વર	God
ઈસ્ટોનિયા	Estonia
શનિ (ગ્રહ)	Saturn
ચેરી	Cherry
૧	1 (number)
૦ (શૂન્ય)	0 (number)
લાટવિયા	Latvia
યુક્રેન	Ukraine
સ્લોવાકિયા	Slovakia
સ્લોવેનિયા	Slovenia
મોલ્દોવા	Moldova
રોમાનિયા	Romania
બલ્ગેરિયા	Bulgaria
મેસેડોનિયા	Republic of Macedonia
આલ્બેનિયા	Albania
ક્રોએશિયા	Croatia
અઝેરબીજાન	Azerbaijan
સાયપ્રસ	Cyprus
જ્યોર્જીયા (દેશ)	Georgia (country)
કઝાકિસ્તાન	Kazakhstan
માલ્ટા	Malta
મોનૅકો	Monaco
મોન્ટેનીગ્રો	Montenegro
સાન મૅરિનો	San Marino
ઍફીલ ટાવર	Eiffel Tower
ઇન્ટેલ કોર્પોરેશન	Intel
કોમ્પ્યુટર કીબોર્ડ	Computer keyboard
જાવા (પ્રોગ્રામિંગ ભાષા)	Java (programming language)
ઈંડોનેશિયા	Indonesia
મોઝાર્ટ	Wolfgang Amadeus Mozart
દક્ષિણ આફ્રિકા	South Africa
વિકિસ્રોત	Wikisource
ઉઝબેકિસ્તાન	Uzbekistan
પાણી	Water
ચીલી	Chile
ઇસુ	Jesus
ગૅલિલિયો ગૅલિલિ	Galileo Galilei
બુધ (ગ્રહ)	Mercury (planet)
ઇતિહાસ	History
શુક્ર (ગ્રહ)	Venus
ભાષા	Language
પ્રેમ	Love
આકાશગંગા	Galaxy
ગુરુ (ગ્રહ)	Jupiter
યુરેનસ (ગ્રહ)	Uranus
નૅપ્ચ્યુન (ગ્રહ)	Neptune
ખગોળશાસ્ત્ર	Astronomy
સિંગાપુર	Singapore
વિજ્ઞાન	Science
પ્લૂટો	Pluto
ફ્રી સૉફ્ટવૅર	Free software
લીચેસ્ટેઈન	Liechtenstein
રમત-ગમત	Sport
ફેસબુક	Facebook
જુલિયન અસાંજે	Julian Assange
બીજું વિશ્વ યુદ્ધ	World War II
ભ્રષ્ટાચાર	Corruption
વોડકા	Vodka
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu (operating system)
ગણિત	Mathematics
બહેરીન	Bahrain
આર્મેનિયા	Armenia
ચંદ્ર	Moon
ઑસ્ટ્રેલિયા	Australia
ભૌતિકશાસ્ત્ર	Physics
આર્જેન્ટીના	Argentina
પેરુ (દેશ)	Peru
જીવવિજ્ઞાન	Biology
અજાણી ઊડતી વસ્તુ	Unidentified flying object
ઉત્તર કોરિયા	North Korea
કમ્બોડીયા	Cambodia
કુરાન	Quran
ડાયનાસોર	Dinosaur
પ્રાણીશાસ્ત્ર	Zoology
ઇસ્લામ	Islam
વર્લ્ડ વાઈડ વેબ	World Wide Web
સ્ત્રી	Woman
કોમ્પ્યુટર વાયરસ	Computer virus
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	Atomic bombings of Hiroshima and Nagasaki
મિલાન	Milan
લીંબુ	Lemon
કેળાં	Banana
ફૂલ	Flower
માઉન્ટ એવરેસ્ટ	Mount Everest
શહેર	City
નેપોલિયન બોનાપાર્ટ	Napoleon
સૂર્ય	Sun
લૂઈ પાશ્ચર	Louis Pasteur
પ્રકાશવર્ષ	Light-year
ગામ	Village
સૂર્યમંડળ	Solar System
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Champs-Élysées
ઉદકજન	Hydrogen
હીલિયમ	Helium
નર્ક	Hell
વિકિમીડિયા કૉમન્સ	Wikimedia Commons
લિથિયમ	Lithium
બેરિલિયમ	Beryllium
દિવસ	Day
પૂર્વ તિમોર	East Timor
વર્ષ	Year
ઓસ્લો	Oslo
કૃષ્ણ વિવર	Black hole
સિરસ (વામન ગ્રહ)	Ceres (dwarf planet)
હૌમેયા (વામન ગ્રહ)	Haumea
મેકમેક (વામન ગ્રહ)	Makemake
બોરોન	Boron
કાર્બન	Carbon
નત્રલવાયુ	Nitrogen
પ્રાણવાયુ (ઑક્સીજન)	Oxygen
ગ્રહ	Planet
સંગીત	Music
ઉષ્ણતામાપક	Thermometer
ફ્લોરિન	Fluorine
નિયોન	Neon
ચૅડ	Chad
ક્ષારાતુ	Sodium
ઉત્તર	North
મેગ્નેશિયમ	Magnesium
સ્ફટયાતુ	Aluminium
દક્ષિણ	South
ભારત	India
સિલિકોન	Silicon
ફ્રાંસીયમ	Francium
ફોસ્ફરસ	Phosphorus
લોખંડ	Iron
પશ્ચિમ	West
ગંધક	Sulfur
સમોઆ	Samoa
નીરજી	Chlorine
વિલિયમ શેક્સપીયર	William Shakespeare
આર્ગોન	Argon
નૌરુ	Nauru
પોટેશિયમ	Potassium
કેલ્શિયમ	Calcium
સીસું	Lead
મંગોલિયા	Mongolia
સ્કેન્ડિયમ	Scandium
ટાઇટેનિયમ	Titanium
વેનેઝુએલા	Venezuela
ચેસ	Chess
વેનેડિયમ	Vanadium
વર્ણાતુ	Chromium
ઘોડો	Horse
હથિયારો	Weapon
પ્રાણી	Animal
સુરીનામ	Suriname
મેંગેનિઝ	Manganese
ગુયાના	Guyana
કલા	Art
ઈક્વેડોર	Ecuador
રિનીયમ	Rhenium
કોલમ્બિયા	Colombia
કોબાલ્ટ	Cobalt
ટંગસ્ટન	Tungsten
નિકલ	Nickel
બૌદ્ધ ધર્મ	Buddhism
બોલીવિયા	Bolivia
ઓસ્મીયમ	Osmium
તાંબુ	Copper
ટ્રિનિદાદ અને ટોબેગો	Trinidad and Tobago
જસત	Zinc
ન્યૂ હેમ્પશાયર	New Hampshire
લિઓનાર્ડો દ વિન્ચી	Leonardo da Vinci
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Honduras
હૈતી	Haiti
ઈરાન	Iran
ઈરાક	Iraq
શાણપણ	Wisdom
ઈઝરાયલ	Israel
પનામા	Panama
યેમેન	Yemen
જૉર્ડન	Jordan
કિર્ગિસ્તાન	Kyrgyzstan
કુવૈત	Kuwait
લાઓસ	Laos
લેબેનાન	Lebanon
માલદીવ્સ	Maldives
અમેરિકા	Americas
મલેશિયા	Malaysia
બર્મા	Burma
નેપાળ	Nepal
ઓમાન	Oman
પાકિસ્તાન	Pakistan
જેમ્સ બોન્ડ	James Bond
કતાર (અરબસ્તાન)	Qatar
સાઉદી અરેબિયા	Saudi Arabia
શ્રીલંકા	Sri Lanka
સ્ટાલિન	Joseph Stalin
સિરિયા	Syria
પ્લેટો	Plato
ગેલિયમ	Gallium
તાજિકિસ્તાન	Tajikistan
ચીની ગણતંત્ર	Taiwan
યુ ટ્યુબ	YouTube
જર્મેનિયમ	Germanium
એરિસ્ટોટલ	Aristotle
થાઇલેન્ડ	Thailand
સોમલ	Arsenic
તુર્કમેનિસ્તાન	Turkmenistan
સેલિનીયમ	Selenium
ઈરિડીયમ	Iridium
બ્રોમિન	Bromine
પ્લેટિનમ	Platinum
વિયેતનામ	Vietnam
ચાર્લી ચૅપ્લિન	Charlie Chaplin
દક્ષિણ કોરિયા	South Korea
ક્રિપ્ટોન	Krypton
અફઘાનિસ્તાન	Afghanistan
રુબિડીયમ	Rubidium
સોનું	Gold
સુએઝ નહેર	Suez Canal
બાંગ્લાદેશ	Bangladesh
સોક્રેટિસ	Socrates
ભૂતાન	Bhutan
બ્રુનેઈ	Brunei
ટાન્ઝાનિયા	Tanzania
પારો	Mercury (element)
ફીલીપાઈન્સ	Philippines
થેલીયમ	Thallium
આઇઝેક ન્યુટન	Isaac Newton
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સ્ટ્રોન્શિયમ	Strontium
ઈટ્રીયમ	Yttrium
બિસ્મથ	Bismuth
ટોગો	Togo
ટ્યુનિશિયા	Tunisia
બેઇજિંગ	Beijing
બેનિન	Benin
પોલોનીયમ	Polonium
એસ્ટાટીન	Astatine
મહાત્મા ગાંધી	Mahatma Gandhi
મડાગાસ્કર	Madagascar
સ્ટુટગાર્ટ	Stuttgart
નાઈજર	Niger
નાઈજેરિયા	Nigeria
ચાર્લ્સ ડાર્વિન	Charles Darwin
ઝિર્કોનિયમ	Zirconium
