Yn Affrick	Africa
Yn Çhapaan	Japan
America Yiass	South America
Norlynn	Norway
Sostyn	England
Nalbin	Scotland
Bretyn	Wales
Nerin Hwoaie	Northern Ireland
Pobblaght Nerin	Republic of Ireland
Yn Ungaar	Hungary
Yn Spaainey	Spain
Steatyn Unnaneysit America	United States
Yn Velg	Belgium
Lucsemburg	Luxembourg
Yn Dowan	Earth
Finnlynn	Finland
Yn Toolynn	Sweden
Yn Danvarg	Denmark
Yn Pholynn	Poland
Yn Litaan	Lithuania
Yn Iddaal	Italy
Yn Elveeish	Switzerland
Yn Austeyr	Austria
Yn Ghreag	Greece
Yn Turkee	Turkey
Lhune	Beer
Yn Phortiugal	Portugal
Yn Oarpey	Europe
Yn Aishey	Asia
America Hwoaie	North America
Yn Antarctagh	Antarctica
Wikipedia	Wikipedia
Yn Çheer Injil	Netherlands
Caayr York Noa	New York City
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berleen	Berlin
Los Angeles	Los Angeles
Co-earrooder	Computer
Berne	Bern
Eddyr-voggyl	Internet
Barack Obama	Barack Obama
Yn Ooraguay	Uruguay
Lunnin	London
Cairo	Cairo
Ooyl	Apple
Paarys	Paris
Abraham Lincoln	Abraham Lincoln
Meksico	Mexico
Yn Keayn Sheear	Atlantic Ocean
Yn Keayn Sheealtagh	Pacific Ocean
California	California
Boston	Boston
Jelune	Monday
Jerrey Geuree	January
Toshiaght Arree	February
Mayrnt	March
Mart (planaid)	Mars
Yn Cheinney	Kenya
Yn Eetoip	Ethiopia
Yn Ghaney	Ghana
Averil	April
Boaldyn	May
Mean Souree	June
Jerrey Souree	July
Luanistyn	August
Mean Fouyir	September
Jerrey Fouyir	October
Mee Houney	November
Mee ny Nollick	December
Jemayrt	Tuesday
Jecrean	Wednesday
Jerdein	Thursday
Jeheiney	Friday
Jesarn	Saturday
Jedoonee	Sunday
Yn Rank	France
Moddey	Dog
Reeriaght Unnaneysit	United Kingdom
Kayt	Cat
Deynphobblaght ny Sheen	China
Frangish	French language
Eeast	Fish
Yn Vrasseel	Brazil
Alcoal	Alcohol
François Hollande	François Hollande
Yn Roosh	Russia
Mooir	Sea
Yn Vooir Ghoo	Black Sea
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Quebec
Wikimedia	Wikimedia Foundation
Yn Ghermaan	Germany
Yn Velaroosh	Belarus
Germaanish	German language
Yn Eeslynn	Iceland
Jee	God
Yn Estaan	Estonia
David Cameron	David Cameron
Sarn (planaid)	Saturn
Etlan	Airplane
0 (earroo)	0 (number)
George W. Bush	George W. Bush
Yn Latvey	Latvia
Yn Ookraan	Ukraine
Yn Phobblaght Çheck	Czech Republic
Yn Clovack	Slovakia
Yn Clovean	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Yn Romaan	Romania
Yn Vulgeyr	Bulgaria
Yn Raue	Rome
Pobblaght ny Massadoan	Republic of Macedonia
Yn Albaan	Albania
Greenlynn	Greenland
Yn Chroit	Croatia
Bosnia as Herzegovina	Bosnia and Herzegovina
Nuuk	Nuuk
Yn Asserbajaan	Azerbaijan
Andorra	Andorra
Yn Cheeprey	Cyprus
Yn Çhorshey	Georgia (country)
Yn Walloon	Wallonia
Yn Chassaghstaan	Kazakhstan
Yn Valta	Malta
Yn Flandyryn	Flanders
Monaco	Monaco
Montenegro	Montenegro
Ard-valley yn Phaab	Vatican City
San Marino	San Marino
Yn Vrussyl	Brussels
Yn Choobey	Cuba
Yn Veleesh	Belize
Barbados	Barbados
Yn Indoneesh	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkish	Turkish language
Yn Affrick Yiass	South Africa
Yn Algear	Algeria
Yn Oosbeckistaan	Uzbekistan
Poznań	Poznań
Warszawa	Warsaw
Feeyn	Wine
Ushtey	Water
Coinnagh	Cognac
Çhellveeish	Television
Eeslynnish	Icelandic language
Yn Çhillee	Chile
Yeesey Chreest	Jesus
Elvis Presley	Elvis Presley
Curain	Mercury (planet)
Shennaghys	History
Badlag	Venus
Çhengey (çhaghteraght)	Language
Co-rollageys	Galaxy
Iupiter	Jupiter
Raad Mooar Ree Gorree	Milky Way
Uraanus	Uranus
Yn Vritaan (çheer)	Brittany
Nicolas Sarkozy	Nicolas Sarkozy
Neptioon	Neptune
Rollageydys	Astronomy
Singapore	Singapore
Oaylleeaght	Science
Pluto	Pluto
Cooid vog heyr	Free software
Kemper	Quimper
Liechtenstein	Liechtenstein
Spoyrt	Sport
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Yn Chied Chaggey Dowanagh	World War I
Yn Nah Chaggey Dowanagh	World War II
Koloin	Cologne
Vodka	Vodka
Clag (traa)	Clock
Yanka Kupala	Yanka Kupala
Skopje	Skopje
Gdynia	Gdynia
Szczecin	Szczecin
Maddaght	Mathematics
Ladjyn	Latin
Bahrain	Bahrain
Yn Armeain	Armenia
Yn Serb	Serbia
Yn Eayst	Moon
İstanbul	Istanbul
Yn Austrail	Australia
Fishig	Physics
Yn Argenteen	Argentina
Yn Pheroo	Peru
Bea-oaylleeaght	Biology
Yn Chorea Twoaie	North Korea
Yn Chamboyd	Cambodia
Cryss Kuiper	Kuiper belt
Jeeneysoar	Dinosaur
Baagh-oaylleeaght	Zoology
Yn Islam	Islam
Peear	Pear
Ljubljana	Ljubljana
Lus-oaylleeaght	Botany
Lech Wałęsa	Lech Wałęsa
