ʻApelika	Africa
Iāpana	Japan
‘Amelika Hema	South America
Nolewai	Norway
ʻIlelani	Republic of Ireland
Hunakalia	Hungary
Sepania	Spain
‘Amelika Hui Pū ‘ia	United States
Pelekiuma	Belgium
Lukemapuka	Luxembourg
Honua	Earth
Keoki Wakinekona	George Washington
Pinilana	Finland
Kuekene	Sweden
Kenemaka	Denmark
Pōlani	Poland
Lituania	Lithuania
ʻĪkālia	Italy
Kuikilani	Switzerland
ʻAukekulia	Austria
Helene	Greece
Tureke	Turkey
Potugala	Portugal
‘Eulopa	Europe
‘Ākia	Asia
‘Amelika ‘Ākau	North America
‘Ane‘ālika	Antarctica
Wikipikia	Wikipedia
Hōlani	Netherlands
Wakinekona, D.C.	Washington, D.C.
Kapalakiko	San Francisco
Pelelina	Berlin
Barack Obama	Barack Obama
Lākana	London
Palika	Paris
Mekiko	Mexico
Moana ʻAkelanika	Atlantic Ocean
Moana Pākīpika	Pacific Ocean
Kaleponi	California
Pokekona	Boston
Pō‘akahi	Monday
Ianuali	January
Pepeluali	February
Malaki	March
Hōkū‘ula	Mars
Kenia	Kenya
‘Aikiopia	Ethiopia
‘Apelila	April
Mei	May
Iune	June
Iulai	July
‘Aukake	August
Kepakemapa	September
‘Okakopa	October
Nowemapa	November
Kēkēmapa	December
Pō‘alua	Tuesday
Pō‘akolu	Wednesday
Pō‘ahá	Thursday
Pō‘alima	Friday
Pō‘aono	Saturday
Pōpule	Sunday
Liona	Lion
Palani	France
‘Ōlelo Ekepelānako	Esperanto
Aupuni Mōʻī Hui Pū ʻia	United Kingdom
Pōpoki	Cat
Kina	China
‘Ōlelo Palani	French language
Palakila	Brazil
Rūsia	Russia
Pai (makemakika)	Pi
‘Alapama	Alabama
Kelemānia	Germany
Belarusa	Belarus
ʻĀina Hau	Iceland
ʻEsetonia	Estonia
Makulu	Saturn
1 (helu)	1 (number)
Lakawia	Latvia
ʻUkelena	Ukraine
Tiekia	Czech Republic
Solowakia	Slovakia
Solowenia	Slovenia
Molodowa	Moldova
Romānia	Romania
Pulukalia	Bulgaria
Loma	Rome
Repupalika o Masedonia	Republic of Macedonia
ʻAlepania	Albania
Koloatia	Croatia
Bosenia me Hesegowina	Bosnia and Herzegovina
‘Akepaikana	Azerbaijan
ʻAnakola	Andorra
Kupelo	Cyprus
Keokia	Georgia (country)
Kasakana	Kazakhstan
Malata	Malta
Monako	Monaco
Montenegero	Montenegro
Wakikana	Vatican City
Sana Marino	San Marino
‘Inidonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
‘Alekelia	Algeria
Kelewikiona	Television
Chile	Chile
Ukaliali‘i	Mercury (planet)
Hōkūloa	Venus
Ka‘āwela	Jupiter
Hele‘ekela	Uranus
Nepekune	Neptune
Kilo hōkū	Astronomy
Sinapoa	Singapore
Akeakamai	Science
Likenekaina	Liechtenstein
Makemakika	Mathematics
Baharaina	Bahrain
‘Āmēnia	Armenia
Seripia	Serbia
‘Aukekulelia	Australia
Kālaikūlohea	Physics
‘Alekina	Argentina
Kālaimeaola	Biology
Kōlea ʻĀkau	North Korea
Kamabodia	Cambodia
