Afrik	Africa
Japon	Japan
Amerik disid	South America
Nòvèj	Norway
Angletè	England
Ekòs	Scotland
Gal	Wales
Ilann dinò	Northern Ireland
Ilann	Republic of Ireland
Ongri	Hungary
Espay	Spain
Etazini	United States
Bèljik	Belgium
Liksanbou (peyi)	Luxembourg
Linivè	Universe
Latè	Earth
Lavi	Life
Lanmò	Death
Homo sapiens	Human
George Washington	George Washington
Fenlann	Finland
Syèd	Sweden
Danmak	Denmark
Polòy	Poland
Lityani	Lithuania
Itali	Italy
Swis	Switzerland
Otrich	Austria
Grès	Greece
Tiki	Turkey
Byè	Beer
Pòtigal	Portugal
Ewòp	Europe
Azi	Asia
Amerik dinò	North America
Antatik (kontinan)	Antarctica
Wikipedya	Wikipedia
Peyiba	Netherlands
Nouyòk	New York City
Wachintòn	Washington, D.C.
San Francisco, Kalifòni	San Francisco
Bèlen	Berlin
Los Angeles, Kalifòni	Los Angeles
Òdinatè	Computer
Bèn	Bern
Zirik	Zürich
Entènet	Internet
Barack Obama	Barack Obama
Irigwe	Uruguay
Lonn	London
Li Kè	Cairo
Alexandria, Vijini	Alexandria, Virginia
Pòm	Apple
Pari	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Meksik	Mexico
Atlantik	Atlantic Ocean
Pasifik	Pacific Ocean
Kalifòni	California
Boston, Massachusetts	Boston
Lendi	Monday
Janvye	January
Fevriye	February
Mas (mwa)	March
Mas (planèt)	Mars
Kenya	Kenya
Etyopi	Ethiopia
Gana	Ghana
Avril	April
Me	May
Jen	June
Jiyè	July
Out	August
Septanm	September
Oktòb	October
Novanm	November
Desanm	December
Madi	Tuesday
Mèkredi	Wednesday
Jedi	Thursday
Vandredi	Friday
Samdi	Saturday
Dimanch	Sunday
Lyon	Lion
Frans	France
Chen	Dog
Wayòm Ini	United Kingdom
Chat	Cat
Tichat	Kitten
Lang franse	French language
Pwason	Fish
Brezil	Brazil
Alkòl	Alcohol
Risi	Russia
Balèn	Cetacea
Kare	Square
Lanmè	Sea
Pi (matematik)	Pi
Π	Pi (letter)
Mango	Mango
Alabama	Alabama
São Paolo	São Paulo
Kebèk	Quebec
Almay	Germany
Byelorisi	Belarus
Alman	German language
Islann	Iceland
Bondye	God
Estoni	Estonia
Satin	Saturn
Seriz	Cherry
Avyon	Airplane
Lagè	War
1 (nonm)	1 (number)
2 (nonm)	2 (number)
3 (nonm)	3 (number)
4 (nonm)	4 (number)
5 (nonm)	5 (number)
0 (nonm)	0 (number)
Rektang	Rectangle
Letoni	Latvia
Ikrèn	Ukraine
Tchèki	Czech Republic
Slovaki	Slovakia
Sloveni	Slovenia
