អាហ្វ្រិក	Africa
ជប៉ុន	Japan
អង់គ្លេស	England
ស្កុតឡែន	Scotland
វ៉ែល	Wales
អៀរឡង់ខាងជើង	Northern Ireland
សាធារណរដ្ឋអៀរឡង់	Republic of Ireland
ប្រទេសហុងគ្រី	Hungary
អេស្ប៉ាញ	Spain
សហរដ្ឋអាមេរិក	United States
ផែនដី	Earth
ប៊ឺណឺស លី	Tim Berners-Lee
ស៊ុយអែត	Sweden
ប្រទេសប៉ូឡូញ	Poland
អ៊ីតាលី	Italy
ព័រទុយហ្គាល់	Portugal
អឺរ៉ុប	Europe
អាស៊ី	Asia
វិគីភីឌា	Wikipedia
ភីអេចភី	PHP
ទីក្រុងញូវយ៉ក	New York City
កុំព្យូទ័រ	Computer
អ៊ីនធើណេត	Internet
បារ៉ាក់ អូបាម៉ា	Barack Obama
ប៉ារីស	Paris
អាប្រាហាម លីនខូន	Abraham Lincoln
ប្រព័ន្ធប្រតិបត្តការ Android	Android (operating system)
Google ស្វែងរក	Google
ម៉ិកស៊ិក	Mexico
មហាសមុទ្រអាត្លង់ទិក	Atlantic Ocean
មហាសមុទ្រប៉ាស៊ីហ្វិក	Pacific Ocean
ថ្ងៃច័ន្ទ	Monday
ខែមករា	January
ខែកុម្ភៈ	February
ខែមីនា	March
ភពអង្គារ	Mars
ខែមេសា	April
ខែឧសភា	May
ខែមិថុនា	June
ខែកក្កដា	July
ខែសីហា	August
ខែកញ្ញា	September
ខែតុលា	October
ខែវិច្ឆិកា	November
ខែធ្នូ	December
អង្គារ	Tuesday
ថ្ងៃពុធ	Wednesday
ថ្ងៃព្រហស្បតិ៍	Thursday
ថ្ងៃសុក្រ	Friday
ថ្ងៃសៅរ៍	Saturday
ថ្ងៃអាទិត្យ	Sunday
សេះ (​អុក​)	Knight (chess)
បារាំង	France
សត្វឆ្កែ	Dog
រាជាណាចក្ររួម	United Kingdom
ឆ្មា	Cat
ភាសាបារាំង	French language
ប្រេស៊ីល	Brazil
រុស្ស៊ី	Russia
ការ៉េ	Square
សមុទ្រ	Sea
អាល្លឺម៉ង់	Germany
ភាសាអាល្លឺម៉ង់	German language
ប្រទេសអាយឡែន	Iceland
ភពសៅរ៍	Saturn
១ (លេខ)	1 (number)
២ (លេខ)	2 (number)
៣ (លេខ)	3 (number)
៥	5 (number)
ចតុកោណកែង	Rectangle
មុំកែង	Right angle
អ៊ុយក្រែន	Ukraine
ទីក្រុងរ៉ូម	Rome
អាល់បានី	Albania
អាស៊ែបៃហ្សង់	Azerbaijan
អង់ដូរ៉ា	Andorra
សាធារណរដ្ឋកាហ្សាក់ស្ថាន	Kazakhstan
បុរីវ៉ាទីកង់	Vatican City
គុយបា	Cuba
ឥណ្ឌូនេស៊ី	Indonesia
អាហ្វ្រិកខាងត្បូង	South Africa
ប្រវត្តិសង្ខេប ក្រុមតន្រ្តី រ៉ុក linkin park	Linkin Park
ប្រទេសអាល់ហ្សេរី	Algeria
ស្រា	Wine
ទឹក	Water
ទូរទស្សន៏	Television
ភាសាអាយឡែន	Icelandic language
ឈីលី	Chile
ព្រះយេស៊ូវ គ្រីស្ទ	Jesus
ភពពុធ	Mercury (planet)
ប្រវត្តិសាស្ត្រ	History
ភពសុក្រ	Venus
ភាសា	Language
ភពព្រហស្បតិ៍	Jupiter
ភពអ៊ុយរ៉ានុស	Uranus
វិគីភីឌាភាសាអង់គ្លេស	English Wikipedia
ភពណិបទូន	Neptune
សិង្ហបុរី	Singapore
ភ្លុយតុង	Pluto
ហ្វេសប៊ុក	Facebook
សង្គ្រាមលោកលើកទីមួយ	World War I
សង្គ្រាមលោកលើកទី២	World War II
ទំព័រគំរូ:Corruption	Corruption
Ubuntu	Ubuntu (operating system)
លីនុច	Linux
គណិតវិទ្យា	Mathematics
បារ៉ែន	Bahrain
ព្រះចន្ទ	Moon
អូស្ត្រាលី	Australia
រូបវិទ្យា	Physics
ជីវវិទ្យា	Biology
កូរ៉េខាងជើង	North Korea
ព្រះរាជាណាចក្រកម្ពុជា	Cambodia
ឌីណូស័រ	Dinosaur
សាសនាឥស្លាម	Islam
សេរីភាព	Peace
សហភាពអឺរ៉ុប	European Union
ចេក	Banana
ណាប៉ូលេអុងបូណាប៉ារត៍	Napoleon
ព្រះអាទិត្យ	Sun
ឆ្នាំពន្លឺ	Light-year
អូសេអានី	Oceania
ប្រព័ន្ធព្រះអាទិត្យ	Solar System
អុីដ្រូសែន	Hydrogen
ទីម័រខាងកើត	East Timor
ម៉ុង ប្លុង	Mont Blanc
សឺរេស	Ceres (dwarf planet)
អៀរីស	Eris (dwarf planet)
ភព	Planet
តន្ត្រី	Music
ភាសាអ៊ីតាលី	Italian language
អាលុយមីញ៉ូម	Aluminium
នូវែលសេឡង់	New Zealand
ឥណ្ឌា	India
អង់ដ្រេ ម៉ារី អំពែរ	André-Marie Ampère
វីលីម ហ្សេកស្ពែរ	William Shakespeare
ប៉ាឡាវ	Palau
ម៉ុងហ្គោលី	Mongolia
ជេនហ្គិស ខាន់	Genghis Khan
កូឡុំប៊ី	Colombia
ព្រះពុទ្ធសាសនា	Buddhism
ហ្គាតេម៉ាឡា	Guatemala
មហាសមុទ្រអាកទិក	Arctic Ocean
អ៊ីរ៉ង់	Iran
ភាសាប៉ូឡូញ	Polish language
ហ្សកដង់	Jordan
កៀហ៊្សីស៊ីស្ថាន	Kyrgyzstan
គុយវ៉ែត	Kuwait
ឡាវ	Laos
លីបង់	Lebanon
ទ្វីបអាមេរិក	Americas
ម៉ាឡេស៊ី	Malaysia
មីយ៉ាន់ម៉ា	Burma
នេប៉ាល់	Nepal
ប៉ាគីស្ថាន	Pakistan
MySQL	MySQL
អារ៉ាប៊ីសាអូឌីត	Saudi Arabia
ស្រីលង្កា	Sri Lanka
ផ្លាតូ	Plato
តាជីគីស្ថាន	Tajikistan
YouTube	YouTube
អារីស្តូត	Aristotle
ថៃ	Thailand
វិទ្យុ	Radio
តួរមិនីស្ថាន	Turkmenistan
វៀតណាម	Vietnam
កូរ៉េខាងត្បូង	South Korea
សាធារណរដ្ឋឥស្លាមអាហ្វហ្កានីស្ថាន	Afghanistan
ព្រែកជីកស៊ុយអែស	Suez Canal
បង់ក្លាដែស្ស	Bangladesh
សូក្រាត	Socrates
