Noowe	Norway
Amereka	United States
Finilandi	Finland
Swiiden	Sweden
Denimaaka	Denmark
Bupoolo	Poland
Lithueenia	Lithuania
Yitale	Italy
Buyonaani	Greece
Buturuki	Turkey
Bulaaya	Europe
Wikipedia	Wikipedia
Berlin	Berlin
Paris	Paris
Gatonnya	January
Kenya	Kenya
Mbwa	Dog
Rwasha	Russia
Girimane	Germany
Isilandi	Iceland
Emu	1 (number)
Bbiri	2 (number)
Ssatu	3 (number)
Nnya	4 (number)
Ttaano	5 (number)
Zeero	0 (number)
Vilnius	Vilnius
Chile	Chile
Jesu Kristo	Jesus
Mathematics	Mathematics
Napooleon Bonapat	Napoleon
Moosko	Moscow
Ebimera	Plant
Nepal	Nepal
Tanzania	Tanzania
Yuganda	Uganda
Uetersen	Uetersen
Helsinki	Helsinki
Baibuli	Bible
Ho Chi Minh City	Ho Chi Minh City
Kkanisa ya Yeso Eyannamaddala	True Jesus Church
Dong Hoi	Đồng Hới
Concepción	Concepción, Chile
Kurów	Kurów
Santiago, Chile	Santiago
Kampala	Kampala
Osasco	Osasco
Curitiba	Curitiba
Category:Okubala	Category:Mathematics
Olupapula Olusooka	Main Page
Saratov	Saratov
Category:Candidates for speedy deletion	Category:Candidates for speedy deletion
Kilimanjaro	Mount Kilimanjaro
Ekiwandiiko Eky'abantu Bonna Ekifa ku Ddembe Ly'obunto	Universal Declaration of Human Rights
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Ennamba	Number
Wikipedia:Community Portal	Wikipedia:Village pump
Mwenda	9 (number)
Bien Hoa	Biên Hòa City
Nha Trang	Nha Trang
Breinigerberg	Breinigerberg
Vung Tau	Vũng Tàu
Musanvu	7 (number)
Munaana	8 (number)
Mukaaga	6 (number)
Moshchena	Moshchena
Paltoga	Paltoga
Entrena	Entrena
Las Vegas	Las Vegas
Kkumi	10 (number)
Nowy Dwór Królewski	Nowy Dwór Królewski
Ca Mau	Cà Mau
Pichilemu	Pichilemu
Phan Thiet	Phan Thiết
Reverse transcriptase	Reverse transcriptase
Luganda	Luganda
Buon Ma Thuot	Buôn Ma Thuột
Anastacia	Anastacia
Thanh Hoa	Thanh Hóa
Ben Tre	Bến Tre
Kkumi na bbiri	12 (number)
Kkumi n'emu	11 (number)
Kkumi na ssatu	13 (number)
Kikumi	100 (number)
Kakadde kamu	Million
Kkumi na nnya	14 (number)
Sekazzi	Watermelon
Kkumi na ttaano	15 (number)
Kkumi na munaana	18 (number)
Kkumi na mwenda	19 (number)
Kkumi na musanvu	17 (number)
Kkumi na mukaaga	16 (number)
Amakumi abiri	20 (number)
Amakumi ana	40 (number)
Amakumi asatu	30 (number)
Lukumi	1000 (number)
Lacuna Coil	Lacuna Coil
Amakumi abiri mu ssatu	23 (number)
Ekirwadde ky’ebola	Ebola virus disease
Amakumi abiri mu ttaano	25 (number)
Amakumi abiri mu nnya	24 (number)
Nkaaga	60 (number)
Coronel Fabriciano	Coronel Fabriciano
Amakumi abiri mu mukaaga	26 (number)
Caayi	Camellia sinensis
Mbogo	African buffalo
Ntaulira	Honey badger
Retrovirus	Retrovirus
Banovci (Nijemci)	Banovci, Vukovar-Srijem County
Bikumi bitaano	500 (number)
Kyenda	90 (number)
Nkumi bbiri	2000 (number)
Ntulege	Plains zebra
Lukaaga	600 (number)
Enkima	Grivet
Emboga	Red cabbage
Amakumi ana mu ssatu	43 (number)
Mutwalo gumu	10000 (number)
Amakumi abiri mu musanvu	27 (number)
Amakumi asatu mu ttaano	35 (number)
Jens Galschiøt	Jens Galschiøt
Paramore	Paramore
Buganda	Buganda
Amakumi abiri mu mwenda	29 (number)
Breuberg	Breuberg
Amakumi abiri mu munaana	28 (number)
Amakumi asatu mu munaana	38 (number)
Amakumi ana mu ttaano	45 (number)
Dobra	Dobra, Bolesławiec County
Kinaana	80 (number)
Abiri mu emu	21 (number)
Abiri mu bbiri	22 (number)
Nsanvu	70 (number)
Amakumi ataano	50 (number)
Amakumi ana mu emu	41 (number)
Amakumi asatu mu nnya	34 (number)
Amakumi asatu mu ssatu	33 (number)
Amakumi ana mu musanvu	47 (number)
Amakumi asatu mu emu	31 (number)
Amakumi asatu mu bbiri	32 (number)
Amakumi ana mu nnya	44 (number)
Amakumi ana mu mukaaga	46 (number)
Amakumi asatu mu musanvu	37 (number)
Amakumi asatu mu mwenda	39 (number)
Amakumi asatu mu mukaaga	36 (number)
Bikumi bibiri	200 (number)
Lusanvu	700 (number)
Nkumi nnya	4000 (number)
Lwenda	900 (number)
Jonava	Jonava
Lunaana	800 (number)
Klaipėda	Klaipėda
Pigazzano	Pigazzano
Amakumi ana mu bbiri	42 (number)
Nkumi ssatu	3000 (number)
The hunger march(Olukumba lwo muyala)	The Hunger March
Hosjö	Hosjö, Falun
Nkumi ttaano	5000 (number)
Kenda	9000 (number)
Kanaana	8000 (number)
Kakaaga	6000 (number)
Kasanvu	7000 (number)
Bikumi bisatu	300 (number)
Category:Girimane	Category:Germany
Category:Yitale	Category:Italy
Category:Rwasha	Category:Russia
Category:Buturuki	Category:Turkey
Category:Bupoolo	Category:Poland
Category:Vietnam	Category:Vietnam
Category:Ebimera	Category:Plants
Category:Okumanya	Category:Science
Bikumi bina	400 (number)
Ba Ria	Bà Rịa
Pillar of shame (Empagi yo Buswavu)	Pillar of Shame
Elysion	Elysion (band)
Category:Stub	Category:Stubs
Angolemi	Angolemi
Mitwalo ebiri	20000 (number)
My Inner Beast	My Inner Beast
SevenMeters (Mitta Musanvu)	SevenMeters
Fundamentalism (Okwesukulumya)	Fundamentalism (sculpture)
In the name of God (Mulinnya lya Katonda)	In the name of God (sculpture)
Survival of the Fattest (okunyigiriza Kwa Nagwano)	Survival of the Fattest (sculpture)
The Color Orange (Langi Ya Kakyungwa)	The Color Orange
Category:Ensi	Category:Countries
Wikipedia:Administrators	Wikipedia:Administrators
Wikipedia:Vital 100	Wikipedia:Vital articles/Level/2
Kaunas	Kaunas
Template:Bot	Template:Bot
Category:Denimaaka	Category:Denmark
Category:Finilandi	Category:Finland
Category:Isilandi	Category:Iceland
Category:Lithueenia	Category:Lithuania
Category:Swiiden	Category:Sweden
Category:Bulaaya	Category:Europe
Template:Documentation	Template:Documentation
Category:Wikipedians by language	Category:Wikipedians by language
Wikipedia:Userbox	Wikipedia:Userboxes
Template:Softredirect	Template:Soft redirect
Template:Delete	Template:Db
Category:Wikipedia	Category:Wikipedia
Wikipedia:Statistics	Wikipedia:Statistics
Template:Col-break	Template:Col-break
Template:Col-begin	Template:Col-begin
Template:Col-end	Template:Col-end
Wikipedia:Vital articles	Wikipedia:Vital articles
Category:Aafrika	Category:Africa
Category:Ennamba	Category:Numbers
Template:Babel	Template:Babel
Template:Stub	Template:Stub
Template:See also	Template:See also
Template:User de	Template:User de
Template:User de-1	Template:User de-1
Template:User de-3	Template:User de-3
Template:User en-3	Template:User en-3
Template:User en-2	Template:User en-2
Template:User lg-4	Template:User en-4
Template:User en-0	Template:User en-0
Template:User en	Template:User en
Template:User tr	Template:User tr
Category:Eezia	Category:Asia
Template:Esoteric	Template:Intricate template
Template:Mod	Template:Mod
Template:User sv	Template:User sv
Template:SIL	Template:Infobox language/codelist
Template:Image label	Template:Image label
Template:Done	Template:Done
Template:Documentation/docname	Template:Documentation/docname
Category:User en	Category:User en
Category:User en-2	Category:User en-2
Template:Infobox	Template:Infobox
Template:User nl-2	Template:User nl-2
Category:Byabulimi	Category:Agriculture
Category:Language user templates	Category:Language user templates
Template:User nl	Template:User nl
Template:Image label end	Template:Image label end
Template:POL	Template:POL
Template:Image label small	Template:Image label small
Template:Bulaaya	Template:Europe and seas labelled map
Template:User lt	Template:User lt
Template:User is	Template:User is
Template:User fr-5	Template:User fr-5
Template:User en-5	Template:User en-5
Category:Infobox templates	Category:Infobox templates
Template:FRA	Template:FRA
Template:User lang	Template:User lang
Category:User lt	Category:User lt
Category:User lg	Category:User lg
Template:User ru-2	Template:User ru-2
Category:User sv-3	Category:User sv-3
Category:User tr	Category:User tr
Category:User tr-N	Category:User tr-N
Template:Lang	Template:Lang
Template:User sv-3	Template:User sv-3
Template:User da-4	Template:User da-4
Template:User kk-2	Template:User kk-2
Template:User lb-2	Template:User lb-2
Template:User lg-2	Template:User lg-2
Template:User sg-1	Template:User sag-1
Template:User zh-4	Template:User zh-4
Category:Yuganda	Category:Uganda
Category:Noowe	Category:Norway
Category:Capitals of the World	Category:Capitals
Putanga	Putanga
Template:UGA	Template:UGA
Stary Dwór	Stary Dwór, Lubusz Voivodeship
Template:Lang-pl	Template:Lang-pl
Trojany	Trojany, Masovian Voivodeship
Template:User sw	Template:User sw
Template:Image label begin	Template:Image label begin
Wikipedia:VisualEditor	Wikipedia:VisualEditor
Template:User rvk	Template:User rvk
