Āfrika	Africa
Japāna	Japan
Dienvidamerika	South America
Norvēģija	Norway
Anglija	England
Skotija	Scotland
Velsa	Wales
Ziemeļīrija	Northern Ireland
Īrija	Republic of Ireland
Ungārija	Hungary
Spānija	Spain
Amerikas Savienotās Valstis	United States
Beļģija	Belgium
Luksemburga	Luxembourg
Visums	Universe
Zeme	Earth
Dzīvība	Life
Nāve	Death
Cilvēks	Human
Laime	Happiness
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (John Lennon song)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finland
Zviedrija	Sweden
Dānija	Denmark
Polija	Poland
Lietuva	Lithuania
Itālija	Italy
Šveice	Switzerland
Austrija	Austria
Grieķija	Greece
Turcija	Turkey
Alus	Beer
Portugāle	Portugal
Eiropa	Europe
Āzija	Asia
Ziemeļamerika	North America
Antarktīda	Antarctica
Vikipēdija	Wikipedia
All your base are belong to us	All your base are belong to us
Nīderlande	Netherlands
Dzimumloceklis	Penis
PHP	PHP
Ņujorka	New York City
Vašingtona	Washington, D.C.
Sanfrancisko	San Francisco
Berlīne	Berlin
Losandželosa	Los Angeles
Boeing	Boeing
Airbus	Airbus
Dators	Computer
Berne	Bern
Ženēva	Geneva
Cīrihe	Zürich
IRC	Internet Relay Chat
Internets	Internet
Baraks Obama	Barack Obama
Urugvaja	Uruguay
Bāzele	Basel
Printeris	Printer (computing)
MediaWiki	MediaWiki
Londona	London
Kaira	Cairo
Galvassāpes	Headache
Aleksandrija	Alexandria
Aleksandrija (Virdžīnija)	Alexandria, Virginia
Ābols	Apple
Parīze	Paris
Abrahams Linkolns	Abraham Lincoln
Android	Android (operating system)
Google	Google
Meksika	Mexico
Atlantijas okeāns	Atlantic Ocean
Klusais okeāns	Pacific Ocean
Kalifornija	California
Bostona	Boston
Pirmdiena	Monday
Telpa	Space
Janvāris	January
Februāris	February
Marts	March
Marss (planēta)	Mars
Marss (mitoloģija)	Mars (mythology)
Kenija	Kenya
