Afrika	Africa
Ġappun	Japan
Norveġja	Norway
Ingilterra	England
Skozja	Scotland
Irlanda ta' Fuq	Northern Ireland
Repubblika tal-Irlanda	Republic of Ireland
Ungerija	Hungary
Spanja	Spain
Stati Uniti	United States
Belġju	Belgium
Lussemburgu	Luxembourg
Art	Earth
Mewt	Death
Bniedem	Human
Tim Berners-Lee	Tim Berners-Lee
Finlandja	Finland
Żvezja	Sweden
Danimarka	Denmark
Polonja	Poland
Litwanja	Lithuania
Italja	Italy
Żvizzera	Switzerland
Awstrija	Austria
Greċja	Greece
Turkija	Turkey
Portugall	Portugal
Ewropa	Europe
Asja	Asia
Wikipedija	Wikipedia
Pajjiżi l-Baxxi	Netherlands
Berlin	Berlin
Kompjuter	Computer
Barack Obama	Barack Obama
Urugwaj	Uruguay
Londra	London
Messiku	Mexico
Oċean Atlantiku	Atlantic Ocean
Oċean Paċifiku	Pacific Ocean
Jannar	January
Frar	February
Marzu	March
Marte (pjaneta)	Mars
Kenja	Kenya
Etjopja	Ethiopia
Gana	Ghana
April	April
Mejju	May
Ġunju	June
Lulju	July
Awwissu	August
Settembru	September
Ottubru	October
Novembru	November
Diċembru	December
Iljun	Lion
Franza	France
Kelb	Dog
Renju Unit	United Kingdom
Qattus	Cat
Ċina	China
Wikizzjunarju	Wiktionary
Brażil	Brazil
François Hollande	François Hollande
Russja	Russia
Wiki	Wiki
Fondazzjoni Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Ġermanja	Germany
Bjelorussja	Belarus
Il Canto degli italiani	Il Canto degli Italiani
Iżlanda	Iceland
Estonja	Estonia
Saturnu (pjaneta)	Saturn
Latvja	Latvia
Ukraina	Ukraine
Ċekja	Czech Republic
Slovakkja	Slovakia
Slovenja	Slovenia
Vilnius	Vilnius
Moldova	Moldova
Rumanija	Romania
Bulgarija	Bulgaria
Ruma	Rome
Repubblika tal-Maċedonja	Republic of Macedonia
Albanija	Albania
Kroazja	Croatia
Bożnija u Ħerżegovina	Bosnia and Herzegovina
Ażerbajġan	Azerbaijan
Andorra	Andorra
Ċipru	Cyprus
Ġeorġja	Georgia (country)
Każakistan	Kazakhstan
Malta	Malta
Monako	Monaco
Montenegro	Montenegro
Belt tal-Vatikan	Vatican City
San Marino	San Marino
Brussell	City of Brussels
Kuba	Cuba
