ਅਫ਼ਰੀਕਾ	Africa
ਜਪਾਨ	Japan
ਦੱਖਣੀ ਅਮਰੀਕਾ	South America
ਨਾਰਵੇ	Norway
ਇੰਗਲੈਂਡ	England
ਸਕਾਟਲੈਂਡ	Scotland
ਵੇਲਜ਼	Wales
ਉੱਤਰੀ ਆਇਰਲੈਂਡ	Northern Ireland
ਆਇਰਲੈਂਡ ਗਣਰਾਜ	Republic of Ireland
ਹੰਗਰੀ	Hungary
ਸਪੇਨ	Spain
ਸੰਯੁਕਤ ਰਾਜ ਅਮਰੀਕਾ	United States
ਬੈਲਜੀਅਮ	Belgium
ਲਕਸਮਬਰਗ	Luxembourg
ਧਰਤੀ	Earth
ਜੀਵਨ	Life
ਮੌਤ	Death
ਮਨੁੱਖ	Human
ਖ਼ੁਸ਼ੀ	Happiness
ਜਾਰਜ ਵਾਸ਼ਿੰਗਟਨ	George Washington
ਇਮੈਜਿਨ (ਗੀਤ)	Imagine (John Lennon song)
ਫ਼ਿਨਲੈਂਡ	Finland
ਸਵੀਡਨ	Sweden
ਡੈੱਨਮਾਰਕ	Denmark
ਪੋਲੈਂਡ	Poland
ਲਿਥੁਆਨੀਆ	Lithuania
ਇਟਲੀ	Italy
ਸਵਿਟਜ਼ਰਲੈਂਡ	Switzerland
ਆਸਟਰੀਆ	Austria
ਯੂਨਾਨ	Greece
ਤੁਰਕੀ	Turkey
ਪੁਰਤਗਾਲ	Portugal
ਯੂਰਪ	Europe
ਏਸ਼ੀਆ	Asia
ਉੱਤਰੀ ਅਮਰੀਕਾ	North America
ਅੰਟਾਰਕਟਿਕਾ	Antarctica
ਵਿਕੀਪੀਡੀਆ	Wikipedia
ਨੀਦਰਲੈਂਡ	Netherlands
ਸ਼ਿਸ਼ਨ	Penis
ਨਿਊਯਾਰਕ ਸ਼ਹਿਰ	New York City
ਵਾਸ਼ਿੰਗਟਨ, ਡੀ.ਸੀ.	Washington, D.C.
ਸਾਨ ਫ਼ਰਾਂਸਿਸਕੋ	San Francisco
ਬਰਲਿਨ	Berlin
ਲਾਸ ਐਂਜਲਸ	Los Angeles
ਕੰਪਿਊਟਰ	Computer
ਬਰਨ	Bern
ਜਨੇਵਾ	Geneva
ਜ਼ਿਊਰਿਖ	Zürich
ਇੰਟਰਨੈੱਟ	Internet
ਬਰਾਕ ਓਬਾਮਾ	Barack Obama
ਉਰੂਗੁਏ	Uruguay
ਲੰਡਨ	London
ਕਾਹਿਰਾ	Cairo
ਸਿਰਦਰਦ	Headache
ਸਿਕੰਦਰੀਆ	Alexandria
ਸੇਬ	Apple
ਪੈਰਿਸ	Paris
ਅਬਰਾਹਮ ਲਿੰਕਨ	Abraham Lincoln
ਐਂਡ੍ਰਾਇਡ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Android (operating system)
ਗੂਗਲ	Google
ਮੈਕਸੀਕੋ	Mexico
ਅੰਧ ਮਹਾਂਸਾਗਰ	Atlantic Ocean
ਪ੍ਰਸ਼ਾਂਤ ਮਹਾਂਸਾਗਰ	Pacific Ocean
ਕੈਲੀਫ਼ੋਰਨੀਆ	California
ਬੌਸਟਨ	Boston
ਸੋਮਵਾਰ	Monday
ਵਿਸਥਾਰ	Space
ਜਨਵਰੀ	January
ਫ਼ਰਵਰੀ	February
ਮਾਰਚ	March
ਮੰਗਲ (ਗ੍ਰਹਿ)	Mars
ਮਾਰਸ	Mars (mythology)
ਕੀਨੀਆ	Kenya
ਇਥੋਪੀਆ	Ethiopia
