Aphrika	Africa
Nihun	Japan
Urin Awya Yala	South America
Nurwiga	Norway
Inlatirra	England
Iskusya	Scotland
Kamri	Wales
Chinchay Ilanda	Northern Ireland
Ilanda	Republic of Ireland
Unriya	Hungary
Ispaña	Spain
Hukllachasqa Amirika Suyukuna	United States
Bilhika	Belgium
Luksimbur	Luxembourg
Ch'askancha	Universe
Tiksimuyu	Earth
Kawsay	Life
Wañuy	Death
Runa	Human
Kusikuy	Happiness
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Phinsuyu	Finland
Suwidsuyu	Sweden
Dansuyu	Denmark
Pulunya	Poland
Lituwa	Lithuania
Italya	Italy
Suwisa	Switzerland
Awstiriya	Austria
Grisya	Greece
Turkiya	Turkey
Sirwisa	Beer
Purtugal	Portugal
Iwrupa	Europe
Asya	Asia
Chinchay Awya Yala	North America
Antartika	Antarctica
Wikipidiya	Wikipedia
Urasuyu	Netherlands
Ullu	Penis
New York	New York City
Washington DC	Washington, D.C.
San Francisco (California)	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Antañiqiq	Computer
Bern	Bern
Genève	Geneva
Zürich	Zürich
Internet	Internet
Barack Obama	Barack Obama
Uruwayi	Uruguay
Basel	Basel
Antañiqiq ch'ipachina	Printer (computing)
London	London
Qahira	Cairo
Uma nanay	Headache
Iskandariya	Alexandria
Mansana	Apple
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mishiku	Mexico
Atlantiku mama qucha	Atlantic Ocean
Sanp'a mama qucha	Pacific Ocean
California suyu	California
Boston (Massachusetts)	Boston
Killachaw	Monday
Qhulla puquy killa	January
Hatun puquy killa	February
Pawqar waray killa	March
Awqakuq	Mars
Kinya	Kenya
Ithiyupya	Ethiopia
Gana	Ghana
Ayriway killa	April
Aymuray killa	May
Inti raymi killa	June
Anta situwa killa	July
Chakra yapuy killa	August
Tarpuy killa	September
Kantaray killa	October
Ayamarq'a killa	November
Qhapaq raymi killa	December
Atipachaw	Tuesday
Quyllurchaw	Wednesday
Illapachaw	Thursday
Ch'askachaw	Friday
K'uychichaw	Saturday
Intichaw	Sunday
Liyun	Lion
Ransiya	France
Esperanto simi	Esperanto
Allqu	Dog
Hukllachasqa Qhapaq Suyu	United Kingdom
Michi	Cat
Chunwa Runallaqta Ripuwlika	China
Ransis simi	French language
Challwa	Fish
Ethanul	Ethanol
Brasil	Brazil
Alkul	Alcohol
François Hollande	François Hollande
Rusiya	Russia
Wallina	Cetacea
Q'aytucha	Fiber
T'asra	Square
Hatun qucha	Sea
Yana hatun qucha	Black Sea
Chiqaluwa	Pi
Wiki	Wiki
Toronto	Toronto
Alabama suyu	Alabama
São Paulo	São Paulo
São Paulo suyu	São Paulo (state)
Quebec pruwinsya	Quebec
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Alimanya	Germany
Bilarus	Belarus
Aliman simi	German language
Islandya	Iceland
Apuyaya	God
Istunya	Estonia
David Cameron	David Cameron
Hawcha	Saturn
Chukulati	Chocolate
Antanka	Airplane
Maqanakuy	War
Huk	1 (number)
Iskay	2 (number)
Kimsa	3 (number)
Tawa	4 (number)
Pichqa	5 (number)
Ch'usaq yupay	0 (number)
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Wask'a	Rectangle
Chiqan chhuka	Right angle
Litunya	Latvia
Ukranya	Ukraine
Chiksuyu	Czech Republic
Isluwakya	Slovakia
Isluwinya	Slovenia
Vilnius	Vilnius
Mulduwa	Moldova
Rumanya	Romania
Bulgarya	Bulgaria
Roma	Rome
Makidunya	Republic of Macedonia
Albanya	Albania
Kalalit Suyu	Greenland
Hurwatsuyu	Croatia
Busna-Hirsiquwina	Bosnia and Herzegovina
Asarsuyu	Azerbaijan
Andurra	Andorra
Kipru	Cyprus
Kartulsuyu	Georgia (country)
Qasaqsuyu	Kazakhstan
Malta	Malta
Munaku	Monaco
Yanaurqu	Montenegro
Watikanu llaqta	Vatican City
San Marino	San Marino
Brussel	City of Brussels
Kuwa	Cuba
Bilisi	Belize
Yatana llumpa	Computer keyboard
Indunisya	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turku simi	Turkish language
Urin Aphrika	South Africa
Alhirya	Algeria
Usbiksuyu	Uzbekistan
Poznań	Poznań
Warszawa	Warsaw
Modena	Modena
Winu	Wine
Yaku	Water
Qiru	Wood
Ñawikaruy	Television
Islandya simi	Icelandic language
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Chili	Chile
El Greco	El Greco
Jesus	Jesus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Qatuylla	Mercury (planet)
Wiñay kawsay	History
Ch'aska	Venus
Rimay	Language
Khuyay	Love
Llaqta saruy	Dictatorship
Ñuñu warani	Galaxy
Pirwa	Jupiter
Michelle Bachelet	Michelle Bachelet
Qullqaquyllur	Milky Way
Hatun t'uqyay	Big Bang
Uranu (puriq quyllur)	Uranus
Bretagne	Brittany
Nicolas Sarkozy	Nicolas Sarkozy
Niptun (puriq quyllur)	Neptune
Quyllur yachay	Astronomy
Singapur	Singapore
Hamut'ay	Science
