Afrika	Africa
Jabaan	Japan
Ameerikada koonfureed	South America
Norway	Norway
Ingiriiska	England
Skotland	Scotland
Waalis	Wales
Waqooyiga Ayrland	Northern Ireland
Ireland	Republic of Ireland
Hungaria	Hungary
Isbania	Spain
Mareykanka	United States
Beljim	Belgium
Luksemburg	Luxembourg
Koon	Universe
Dhul	Earth
Nolosha	Life
Biniaadan	Human
George Washington	George Washington
Finland	Finland
Iswiidhan	Sweden
Denmark	Denmark
Boland	Poland
Lithuaniya	Lithuania
Talyaaniga	Italy
Iswisarland	Switzerland
Austriya	Austria
Giriig	Greece
Turkiga	Turkey
Bortuqaal	Portugal
Yurub	Europe
Aasiya	Asia
Woqooyiga Ameerika	North America
Antiarktis	Antarctica
Wikipedia	Wikipedia
Holland	Netherlands
New York	New York City
Washington D.C	Washington, D.C.
Baarliin	Berlin
Los Angeles	Los Angeles
Boeing	Boeing
Kumbuyuutar	Computer
Jineefa	Geneva
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
London	London
Qaahiro	Cairo
Baariis	Paris
Android	Android (operating system)
Google	Google
Meksiko	Mexico
Badweynta Atlaantik	Atlantic Ocean
Badweynta Baasifik	Pacific Ocean
Kalifornia	California
Isniin	Monday
Janaayo	January
Febraayo	February
Maarso	March
Farraare	Mars
Kiinya	Kenya
Itoobiya	Ethiopia
Gaana	Ghana
Abriil	April
May	May
Juun	June
Luuliyo	July
Agoosto	August
Sebteembar	September
Oktoobar	October
Nofeembar	November
Diseembar	December
Talaado	Tuesday
Arbaco	Wednesday
Khamiis	Thursday
Jimco	Friday
Sabti	Saturday
Axad	Sunday
Libaax	Lion
Faransiiska	France
Esberanto	Esperanto
Ey	Dog
Midowga boqortooyada Britan	United Kingdom
Yaanyuur	Cat
Shiinaha	China
Af-Faransiis	French language
Malaay	Fish
Khamri	Alcoholic beverage
Barasiil	Brazil
François Hollande	François Hollande
Ruushka	Russia
Nibiri	Cetacea
Labajibaarane	Square
Bad	Sea
Bada madaw	Black Sea
Pi Sumad xisaabeed	Pi
Cambe	Mango
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
São Paulo (Gobol)	São Paulo (state)
Wikimedia	Wikimedia Foundation
Jimmy Wales	Jimmy Wales
Ingiriis	English
Jarmalka	Germany
Belarus	Belarus
Af-Jarmal	German language
Island	Iceland
Estoniya	Estonia
David Cameron	David Cameron
Raage	Saturn
Chocolate	Chocolate
Dagaalada	War
Kow	1 (number)
Labo	2 (number)
Sadax	3 (number)
Afar (lambar)	4 (number)
Shan	5 (number)
0	0 (number)
George W. Bush	George W. Bush
Laydi	Rectangle
Latfiya	Latvia
Ukrain	Ukraine
Jamhuuriyadda Tashik	Czech Republic
Islofaakiya	Slovakia
Isloveeniya	Slovenia
Moldofa	Moldova
Romania	Romania
Bulgaria	Bulgaria
Roma	Rome
Jamhuriyada Makedonia	Republic of Macedonia
Albania	Albania
Griinland	Greenland
Kroatia	Croatia
Bosniya	Bosnia and Herzegovina
Aserbiijaan	Azerbaijan
Andorra	Andorra
Jasiirada Qabrus	Cyprus
Joorjiya	Georgia (country)
Kasakhstan	Kazakhstan
Malta	Malta
Monako	Monaco
Montenegro	Montenegro
Faatikan	Vatican City
San Marino	San Marino
Boroksel	City of Brussels
Kuuba	Cuba
Belise	Belize
Barbados	Barbados
Indunisiya	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Af-Turki	Turkish language
Koonfur Afrika	South Africa
Aljeeriya	Algeria
Usbekistan	Uzbekistan
Biyo	Water
Alwaax	Wood
Telefishin	Television
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Jili	Chile
El Greco	El Greco
Ciise	Jesus
Dusaa	Mercury (planet)
Taariikh	History
Apple Inc	Apple Inc.
Waxaraxir	Venus
Jaceyl	Love
Cirjeex	Jupiter
Uraano	Uranus
Nicolas Sarkozy	Nicolas Sarkozy
Nebtuun	Neptune
Xiddigis	Astronomy
Singabuur	Singapore
Saynis	Science
Buluuto	Pluto
Liechtenstein	Liechtenstein
Ciyaaraha	Sport
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Dagaalkii koowaad	World War I
Dagaalkii Labaad ee Aduunka	World War II
Goorsheegto	Clock
Linux	Linux
Xisaab	Mathematics
Af-Laatiin	Latin
Baxrayn	Bahrain
Armania	Armenia
Seerbiya	Serbia
Bil	Moon
Istanbuul	Istanbul
Australia	Australia
Fiisigis	Physics
Arjantiina	Argentina
Isgaarsiinta	Telecommunication
Peru	Peru
Bayoloji	Biology
Waqooyiga Kuuriya	North Korea
Kambodiya	Cambodia
Qur'aan	Quran
Diinsoor (xayawaan)	Dinosaur
Islaam	Islam
Ljubljana	Ljubljana
World Wide Web	World Wide Web
Naag	Woman
Gabay	Poetry
Chernobyl	Chernobyl disaster
Milan	Milan
Torino	Turin
Liin dhanaan	Lemon
Moos	Banana
Ubax	Flower
Magaalo	City
Napoleon Bonaparte	Napoleon
Xidig	Star
Qorax	Sun
Cir	Sky
Tuulo	Village
Ooshiyaaniya	Oceania
Bahda Midaysay Qoraxdu	Solar System
Ilig	Tooth
Hydrogen	Hydrogen
Hiliyaam	Helium
Ilik	Human tooth
Cadaab	Hell
Wikimedia Commons	Wikimedia Commons
Liithiyaam	Lithium
Beriiliyaam	Beryllium
Buug	Book
Maalin	Day
Bariga Timor	East Timor
Sanad	Year
Qarni	Century
Oslo	Oslo
Lissabon	Lisbon
Dubay	Dubai
Lionel Messi	Lionel Messi
Booron	Boron
Versailles	Versailles (France city)
Kaarboon	Carbon
Nitrojiin	Nitrogen
Ogsajiin	Oxygen
FC Internazionale Milano	Inter Milan
Meere	Planet
Muusig	Music
Moskow	Moscow
Foloriin	Fluorine
Af-Taliyaani	Italian language
Niyoon	Neon
Saint Petersburg	Saint Petersburg
Jad	Chad
Sodhiyaam	Sodium
Woqooyi	North
Magniisiyaam	Magnesium
Alumiiniyaam	Aluminium
New Zealand	New Zealand
Koonfur	South
Hindiya	India
Silikoon	Silicon
Faransiyaam	Francium
Tuvalu	Tuvalu
Fosforos	Phosphorus
Xadiid	Iron
Galbeed	West
Salfar	Sulfur
Bari (Jiho)	East
Jasiiradaha Solomon	Solomon Islands
Koloriin	Chlorine
Koofurta Holland	South Holland
Balau	Palau
Aargon	Argon
Nawru	Nauru
Firefox	Firefox
Waqooyiga Holland	North Holland
Botashiyaam	Potassium
Zeeland	Zeeland
Kaalshiyaam	Calcium
Flevoland	Flevoland
Lead	Lead
Jasiirada Marshall	Marshall Islands
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Fiji
Iskaandhiyaam	Scandium
Titaaniyaam	Titanium
Fanansuwela	Venezuela
Jinkis Khan	Genghis Khan
Fanadhiyaam	Vanadium
Koroomiyaam	Chromium
Faras	Horse
Amistardam	Amsterdam
Hub	Weapon
Xayawaan	Animal
Surinam	Suriname
Manganiis	Manganese
Paraguay	Paraguay
Guyana	Guyana
Fan	Art
Ikwadoor	Ecuador
Reheniyaam	Rhenium
Kolombiya	Colombia
Kobalti	Cobalt
Tungsten	Tungsten
Nikel	Nickel
Boliifia	Bolivia
Osmiyaam	Osmium
Groningen	Groningen (province)
Kober	Copper
Beer	Plant
Sinki	Zinc
Leonardo da Vinci	Leonardo da Vinci
Boqoshaa	Fungus
Jamayka	Jamaica
Friesland	Friesland
Drenthe	Drenthe
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Gelderland
Utrecht	Utrecht (province)
Bahamas	The Bahamas
Dooro	Chicken
Antigua iyo Barbuda	Antigua and Barbuda
Hawaay	Hawaii
Dominika	Dominica
Doofaar	Domestic pig
Haiti	Haiti
El Salfador	El Salvador
Iiraan	Iran
Ciraaq	Iraq
Xikmad	Wisdom
Kosta Rika	Costa Rica
Israaiil	Israel
Magaalada Utrecht	Utrecht
Banama	Panama
Yemen	Yemen
Virus	Virus
Urdun	Jordan
Nikaragua	Nicaragua
Florida	Florida
Qargistan	Kyrgyzstan
Kuwayt	Kuwait
Laos	Laos
Lubnaan	Lebanon
Jasiirada Maldiif	Maldives
Ameerika	Americas
Lo'	Cattle
Malaysiya	Malaysia
Burma	Burma
Nebal	Nepal
Cumaan	Oman
Bakistaan	Pakistan
Qatar	Qatar
Ciyaarta Teeniska	Tennis
Sacuudi Carabiya	Saudi Arabia
Siri Lanka	Sri Lanka
Suuriya	Syria
Gaaliyaam	Gallium
Tadsjikistan	Tajikistan
Pokemon	Pokémon
Taywan	Taiwan
YouTube	YouTube
Jermaaniyaam	Germanium
Tayland	Thailand
Tareen	Train
Aarsenik	Arsenic
Turkmenistan	Turkmenistan
Seleniyaam	Selenium
Iridiyaam	Iridium
Imaaraatka Carabta	United Arab Emirates
Boromiin	Bromine
Balatiniyaam	Platinum
Fiyetnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Koonfur Kuuriya	South Korea
Kiribtoon	Krypton
Afgaanistan	Afghanistan
Gangnam Style	Gangnam Style
Rubiidhiyaam	Rubidium
Dahab	Gold
Kanaalka Suweys	Suez Canal
Bangladesh	Bangladesh
Maali	Mali
Sokrades	Socrates
Angola	Angola
Butaan	Bhutan
Twitter	Twitter
Barunay	Brunei
Tansaaniya	Tanzania
Meerkuri	Mercury (element)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filibiin	Philippines
Jamhuuriyadda Bartamaha Afrika	Central African Republic
Cirifka Koonfur	South Pole
Cirifka waqooyi	North Pole
Isxaaq Newton	Isaac Newton
Albert Einstein	Albert Einstein
Istoroontiyaam	Strontium
Itriyaam	Yttrium
Bismuth	Bismuth
Jaale	Yellow
Togo	Togo
Tunisiya	Tunisia
Saambiya	Zambia
Simbaabwi	Zimbabwe
Beijing	Beijing
Koonfur Suudaan	South Sudan
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoros	Comoros
Jamhuuriyadda Kongo	Republic of the Congo
Jamhuuriyada Dimuqaraadiga Kongo	Democratic Republic of the Congo
Jabuuti	Djibouti
Boloniyaam	Polonium
Ikweetiga Guinea	Equatorial Guinea
Eratareya	Eritrea
New Delhi	New Delhi
Ilmo	Infant
Astatiin	Astatine
Gabon	Gabon
Mahatma Gandhi	Mahatma Gandhi
Gambia	The Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Xeebta Foolmaroodi	Ivory Coast
Kamiruun	Cameroon
Kab Ferde	Cape Verde
Lesotho	Lesotho
Liberia	Liberia
Libiya	Libya
Madagaskar	Madagascar
Malaawi	Malawi
Mauritania	Mauritania
Mauritius	Mauritius
Marooko	Morocco
Musanbiig	Mozambique
Nambiya	Namibia
Nayjar	Niger
Nayjeeriya	Nigeria
Yugandha	Uganda
Ruwanda	Rwanda
Sirkooniyaam	Zirconium
Sao Tome iyo Prinsipe	São Tomé and Príncipe
Sinigaal	Senegal
Seyshelles	Seychelles
Sierra Leone	Sierra Leone
Soomaaliya	Somalia
Niyobiyaam	Niobium
Julius Caesar	Julius Caesar
Suudaan	Sudan
Swasiland	Swaziland
Qaansa Roobaad	Rainbow
Molybdenum	Molybdenum
Teknetiyaam	Technetium
Qaramada Midoobay	United Nations
Juquraafi	Geography
Wadno	Heart
Maskax	Brain
Maqaar	Skin
Midab	Color
Rutheniyaam	Ruthenium
Roodhiyaam	Rhodium
Baluug	Blue
Baladiyaam	Palladium
Naxaas	Silver
Kaadmiyaam	Cadmium
Limburg	Limburg (Netherlands)
Tin (curiye)	Tin
Antimony	Antimony
Teluriyaam	Tellurium
Waqooyiga Brabant	North Brabant
Aaydhiin	Iodine
Siinoon	Xenon
Kaasiyaam	Caesium
Baariyaam	Barium
Haafniyaam	Hafnium
Aktiiniyaam	Actinium
Tantalum	Tantalum
Bill Clinton	Bill Clinton
Raadhiyaam	Radium
Raadhoon	Radon
Lorraine	Lorraine (region)
Buerto Riko	Puerto Rico
Niedersachsen	Lower Saxony
Lombardia	Lombardy
Qudus	Jerusalem
Rutherfordium	Rutherfordium
Dubniyaam	Dubnium
Siiborgiyaam	Seaborgium
