ஆப்பிரிக்கா	Africa
ஜப்பான்	Japan
தென் அமெரிக்கா	South America
நோர்வே	Norway
இங்கிலாந்து	England
இசுக்கொட்லாந்து	Scotland
வேல்ஸ்	Wales
வட அயர்லாந்து	Northern Ireland
அயர்லாந்து குடியரசு	Republic of Ireland
அங்கேரி	Hungary
எசுப்பானியா	Spain
அமெரிக்க ஐக்கிய நாடு	United States
பெல்ஜியம்	Belgium
லக்சம்பர்க்	Luxembourg
அண்டம்	Universe
புவி	Earth
உயிர்	Life
இறப்பு	Death
மனிதர்	Human
இன்பம்	Happiness
சியார்ச் வாசிங்டன்	George Washington
டக்ளஸ் ஆடம்ஸ்	Douglas Adams
டிம் பேர்னேர்ஸ்-லீ	Tim Berners-Lee
இஸ்டான்லி குப்ரிக்கு	Stanley Kubrick
மாயா காலக்கணக்கு முறை	Maya calendar
பின்லாந்து	Finland
சுவீடன்	Sweden
டென்மார்க்	Denmark
போலந்து	Poland
லித்துவேனியா	Lithuania
இத்தாலி	Italy
சுவிட்சர்லாந்து	Switzerland
ஆசுதிரியா	Austria
கிரேக்கம் (நாடு)	Greece
துருக்கி	Turkey
பியர்	Beer
போர்த்துகல்	Portugal
ஐரோப்பா	Europe
ஆசியா	Asia
வட அமெரிக்கா	North America
அன்டார்க்டிக்கா	Antarctica
விக்கிப்பீடியா	Wikipedia
நெதர்லாந்து	Netherlands
ஆண்குறி	Penis
பி.எச்.பி	PHP
நியூயார்க் நகரம்	New York City
வாசிங்டன், டி. சி.	Washington, D.C.
சான் பிரான்சிஸ்கோ	San Francisco
பெர்லின்	Berlin
லாஸ் ஏஞ்சலஸ்	Los Angeles
போயிங்	Boeing
ஏர்பஸ்	Airbus
கணினி	Computer
பேர்ன்	Bern
ஜெனீவா	Geneva
சூரிக்கு	Zürich
இணையம்	Internet
பராக் ஒபாமா	Barack Obama
உருகுவை	Uruguay
பேசெல்	Basel
கணினி அச்சுப்பொறி	Printer (computing)
மீடியாவிக்கி	MediaWiki
இலண்டன்	London
கெய்ரோ	Cairo
தலைவலி	Headache
