ئافرىقا	Africa
ياپونىيە	Japan
جەنۇبىي ئامېرىكا	South America
نورۋېگىيە	Norway
Shotlandiye	Scotland
Wélsh	Wales
ۋېنگرىيە	Hungary
ئىسپانىيە	Spain
ئامېرىكا قوشما شىتاتلىرى	United States
بېلگىيە	Belgium
ليۇكسېمبۇرگ	Luxembourg
يەر شارى	Earth
گېئورگى ۋاشىنگتون	George Washington
فىنلاندىيە	Finland
شۋېتسىيە	Sweden
دانىيە	Denmark
لەھىستان	Poland
لىتۋا	Lithuania
ئىتالىيە	Italy
شۋېتسارىيە	Switzerland
ئاۋستىرىيە	Austria
گرېتسىيە	Greece
تۈركىيە جۇمھۇرىيىتى	Turkey
پورتۇگالىيە	Portugal
ياۋروپا	Europe
ئاسىيا	Asia
شىمالىي ئامېرىكا	North America
ۋىكىپېدىيە	Wikipedia
گوللاندىيە	Netherlands
Nyu York Shehiri	New York City
ۋاشىنگتون	Washington, D.C.
San Fransisko	San Francisco
Bérlin	Berlin
Los Anjélés	Los Angeles
كومپيۇتېر	Computer
بېرن	Bern
Jenwe	Geneva
سيۇرىخ	Zürich
خەلقارالىق تور	Internet
باراك ئوباما	Barack Obama
ئۇرۇگۋاي	Uruguay
London	London
كايرو	Cairo
ئالما	Apple
پارىژ	Paris
مېكسىكا	Mexico
Kaliforniye Shitati	California
Boston	Boston
مارس	Mars
كېنىيە	Kenya
ئېفىئوپىيە	Ethiopia
گانا جۇمھۇرىيىتى	Ghana
شىر	Lion
فرانسىيە	France
ئېسپېرانتو	Esperanto
ئىت	Dog
بۈيۈك بېرىتانىيە	United Kingdom
مۈشۈك	Cat
جۇڭخۇا خەلق جۇمھۇرىيىتى	China
فرانسۇز تىلى	French language
برازىلىيە	Brazil
روسىيە	Russia
قارا دېڭىز	Black Sea
مانگو	Mango
Toronto	Toronto
Alabama Shitati	Alabama
San Pawlo	São Paulo
Kwébék	Quebec
ۋىكىپېدىيە ۋەخپى	Wikimedia Foundation
جىمى ۋالىس	Jimmy Wales
گېرمانىيە	Germany
