IYunayithedi Steyitsi	United States
Abantu	Human
Switserii	Switzerland
Ubhiya	Beer
Europe	Europe
I-Wikipedia	Wikipedia
ENetherlands	Netherlands
Ikhompyutha	Computer
EGeneva	Geneva
Eyomqungu	January
Eyomdumba	February
Eyokwindla	March
Tshazimpuzi	April
Canzibe	May
Eyesilimela	June
Eyekhala	July
Eyethupha	August
Eyomsintsi	September
Eyedwarha	October
Eyenkanga	November
Eyomnga	December
Ingonyama	Lion
Inja	Dog
Ikati	Cat
Intlanzi	Fish
Brasil	Brazil
IRashiya	Russia
IJamani	Germany
IsiJamani	German language
UThixo	God
Inqwelo-ntaka	Airplane
Imfazwe	War
Inye	1 (number)
Zimbini	2 (number)
Zintathu	3 (number)
Zine	4 (number)
Zintlanu	5 (number)
Iqanda	0 (number)
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
UMzantsi Afrika	South Africa
Iveyn	Wine
Amanzi	Water
IChile	Chile
UYesu Kristu	Jesus
Imbali	History
Ulwimi	Language
IAstronomi	Astronomy
ISyensya	Science
Ezemidlalo	Sport
I-Mathematics	Mathematics
IFiziki	Physics
IBayoloji	Biology
Uxolo	Peace
UKat	Sun
Isibhakabhaka	Sky
Incwadi	Book
Umculo	Music
William Shakespeare	William Shakespeare
UStevie Wonder	Stevie Wonder
Itshesi	Chess
IsiColombia	Colombia
I-Fungi	Fungus
Unomathotholo	Radio
Igolide	Gold
I-South Pole	South Pole
Mauritania	Mauritania
INigeria	Nigeria
Julius Caesar	Julius Caesar
Hamburg	Hamburg
IJioloji	Geology
IJerusalem	Jerusalem
E-Chicago	Chicago
UBusika	Winter
EKwindla	Autumn
Isiqhamo	Fruit
Imali	Money
Uetersen	Uetersen
Augustus	Augustus
IHanoveri (eJamani)	Hanover
Frankfurt	Frankfurt
IBhayibhile	Bible
Lenkonzo enyanisekileyo ka Krestu	True Jesus Church
IsiNgesi	English language
Concepción	Concepción, Chile
Końskowola	Końskowola
Inyoka	Snake
IKhemistri	Chemistry
1 Eyokwindla	March 1
18 Eyekhala	July 18
Ibhola ekhatywayo	Association football
UMichael Jackson	Michael Jackson
Ibhokhwe	Goat
Ukukhululeka	Liberty
I-Nile	Nile
Category:Templates	Category:Wikipedia templates
E-Pitoli	Pretoria
Umlambo	River
Osasco	Osasco
Curitiba	Curitiba
Confucius	Confucius
Category:Izibalo	Category:Mathematics
Yentaka	Bird
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Iphepha Elingundoqo	Main Page
Iqakamba	Cricket
Ibhola yombhoxo	Rugby football
IKapa	Cape Town
EThekwini	Durban
Ifilosofi	Philosophy
Category:Candidates for speedy deletion	Category:Candidates for speedy deletion
I-Democracy	Democracy
Indlovu	Elephant
IsiHolani	Dutch language
Vladimir Putin	Vladimir Putin
Igazi	Blood
Imvula	Rain
Nelson Mandela	Nelson Mandela
I-logic	Logic
Alexander Makedon	Alexander the Great
Ikofu	Coffee
Intaba	Mountain
UbuKumkani bamaBritane	British Empire
Genesis	Book of Genesis
Eksodus	Book of Exodus
Iilwandle	Ocean
IChelsea	Chelsea F.C.
Umlomo	Mouth
Ronald Reagan	Ronald Reagan
IsiZulu	Zulu language
Ihagu	Pig
Umthi	Tree
Inyama	Meat
Imifuno	Vegetable
Amazwi alula omculo wefowuni	Telephone
Ityiwa	Salt
I-Karate	Karate
Iphepha	Paper
Google Maps	Google Maps
Isifo sephepha	Tuberculosis
Umlinganiselo	Measurement
IsiXhosa	Xhosa language
IsiBhulu	Afrikaans
Itafile	Table (furniture)
Ithoba	9 (number)
FIFuRoni da Futboll	FIFA World Cup
Rafael Correa	Rafael Correa
ISosioloji	Sociology
Sixhenxe	7 (number)
Sibhozo	8 (number)
Die Antwoord	Die Antwoord
Itswele	Onion
Zintandathu	6 (number)
Paltoga	Paltoga
Entrena	Entrena
Ishumi	10 (number)
Iqwarhashe	Zebra
IsiPedi	Northern Sotho language
Valparaíso	Valparaíso
IsiSotho	Sotho language
UWhitney Houston	Whitney Houston
Imithetho elishumi	Ten Commandments
EGoli	Johannesburg
USathane	Satan
Ipolisa	Police
Umhlaba	Soil
Ibuzi	Rat
Ishumi elinambini	12 (number)
Ishumi elinanye	11 (number)
Ishumi elinantathu	13 (number)
EBloemfontein	Bloemfontein
Ishumi elinane	14 (number)
Ishumi elinantlanu	15 (number)
Ishumi elinesibhozo	18 (number)
Ishumi elinesithoba	19 (number)
Ishumi elinesixhenxe	17 (number)
Ishumi elinesithandathu	16 (number)
Amashumi amabini	20 (number)
Nonkala	Crab
Al Pacino	Al Pacino
Desmond Tutu	Desmond Tutu
IMayini	Mining
Iziphaluka zaseBritane eziphesheya kolwandle	British Overseas Territories
